"","seqnames1","start1","end1","node.class1","seqnames2","start2","end2","node.class2","counts","name","interaction.type"
"25","chr15",34037019,34040601,"promoter","chr15",34334321,34339319,"promoter",3.58446605730478e-12,"chr15:34037019-34040601_chr15:34334321-34339319","pp"
"26","chr15",34037019,34040601,"promoter","chr15",34340172,34344132,"distal",6.88338275267597e-15,"chr15:34037019-34040601_chr15:34340172-34344132","pe"
"27","chr15",34037019,34040601,"promoter","chr15",34363948,34369467,"distal",0,"chr15:34037019-34040601_chr15:34363948-34369467","pe"
"28","chr15",34037019,34040601,"promoter","chr15",34512205,34516531,"distal",0,"chr15:34037019-34040601_chr15:34512205-34516531","pe"
"29","chr15",34037019,34040601,"promoter","chr15",34579527,34590381,"promoter",0,"chr15:34037019-34040601_chr15:34579527-34590381","pp"
"30","chr15",34098771,34104136,"promoter","chr15",34206781,34211477,"promoter",0,"chr15:34098771-34104136_chr15:34206781-34211477","pp"
"31","chr15",34098771,34104136,"promoter","chr15",34317395,34319709,"promoter",1.40766302547668e-06,"chr15:34098771-34104136_chr15:34317395-34319709","pp"
"32","chr15",34098771,34104136,"promoter","chr15",34334321,34339319,"promoter",0,"chr15:34098771-34104136_chr15:34334321-34339319","pp"
"33","chr15",34098771,34104136,"promoter","chr15",34340172,34344132,"distal",0,"chr15:34098771-34104136_chr15:34340172-34344132","pe"
"34","chr15",34098771,34104136,"promoter","chr15",34363948,34369467,"distal",0,"chr15:34098771-34104136_chr15:34363948-34369467","pe"
"35","chr15",34098771,34104136,"promoter","chr15",34512205,34516531,"distal",0,"chr15:34098771-34104136_chr15:34512205-34516531","pe"
"36","chr15",34098771,34104136,"promoter","chr15",34579527,34590381,"promoter",0,"chr15:34098771-34104136_chr15:34579527-34590381","pp"
"37","chr15",34153674,34156972,"promoter","chr15",34363948,34369467,"distal",1.63328035496235e-06,"chr15:34153674-34156972_chr15:34363948-34369467","pe"
"38","chr15",34206781,34211477,"promoter","chr15",34334321,34339319,"promoter",0,"chr15:34206781-34211477_chr15:34334321-34339319","pp"
"39","chr15",34206781,34211477,"promoter","chr15",34340172,34344132,"distal",0,"chr15:34206781-34211477_chr15:34340172-34344132","pe"
"40","chr15",34206781,34211477,"promoter","chr15",34512205,34516531,"distal",0,"chr15:34206781-34211477_chr15:34512205-34516531","pe"
"41","chr15",34206781,34211477,"promoter","chr15",34984639,34990512,"promoter",1.68753899743024e-14,"chr15:34206781-34211477_chr15:34984639-34990512","pp"
"42","chr15",34222941,34227571,"promoter","chr15",34317395,34319709,"promoter",0.00205860152580917,"chr15:34222941-34227571_chr15:34317395-34319709","pp"
"43","chr15",34222941,34227571,"promoter","chr15",34334321,34339319,"promoter",0,"chr15:34222941-34227571_chr15:34334321-34339319","pp"
"44","chr15",34222941,34227571,"promoter","chr15",34512205,34516531,"distal",0,"chr15:34222941-34227571_chr15:34512205-34516531","pe"
"45","chr15",34222941,34227571,"promoter","chr15",34579527,34590381,"promoter",0,"chr15:34222941-34227571_chr15:34579527-34590381","pp"
"46","chr15",34222941,34227571,"promoter","chr15",34984639,34990512,"promoter",0,"chr15:34222941-34227571_chr15:34984639-34990512","pp"
"47","chr15",34317395,34319709,"promoter","chr15",34334321,34339319,"promoter",1.08660852314868e-05,"chr15:34317395-34319709_chr15:34334321-34339319","pp"
"48","chr15",34317395,34319709,"promoter","chr15",34512205,34516531,"distal",2.31592577093487e-06,"chr15:34317395-34319709_chr15:34512205-34516531","pe"
"49","chr15",34334321,34339319,"promoter","chr15",34512205,34516531,"distal",0,"chr15:34334321-34339319_chr15:34512205-34516531","pe"
"50","chr15",34334321,34339319,"promoter","chr15",34579527,34590381,"promoter",0,"chr15:34334321-34339319_chr15:34579527-34590381","pp"
"51","chr15",34334321,34339319,"promoter","chr15",34984639,34990512,"promoter",3.88824528130272e-11,"chr15:34334321-34339319_chr15:34984639-34990512","pp"
"52","chr15",34340172,34344132,"distal","chr15",34512205,34516531,"distal",0,"chr15:34340172-34344132_chr15:34512205-34516531","ee"
"53","chr15",34340172,34344132,"distal","chr15",34984639,34990512,"promoter",0,"chr15:34340172-34344132_chr15:34984639-34990512","pe"
"54","chr15",34363948,34369467,"distal","chr15",34512205,34516531,"distal",0,"chr15:34363948-34369467_chr15:34512205-34516531","ee"
"55","chr15",34434533,34439658,"distal","chr15",34512205,34516531,"distal",4.75006123323851e-09,"chr15:34434533-34439658_chr15:34512205-34516531","ee"
"56","chr15",34512205,34516531,"distal","chr15",34579527,34590381,"promoter",0,"chr15:34512205-34516531_chr15:34579527-34590381","pe"
"57","chr15",34512205,34516531,"distal","chr15",34965863,34971297,"promoter",2.68562949656825e-13,"chr15:34512205-34516531_chr15:34965863-34971297","pe"
"58","chr15",34512205,34516531,"distal","chr15",34984639,34990512,"promoter",0,"chr15:34512205-34516531_chr15:34984639-34990512","pe"
"59","chr15",34579527,34590381,"promoter","chr15",34794052,34797530,"promoter",1.46993528460371e-13,"chr15:34579527-34590381_chr15:34794052-34797530","pp"
"60","chr15",34579527,34590381,"promoter","chr15",34965863,34971297,"promoter",0,"chr15:34579527-34590381_chr15:34965863-34971297","pp"
"61","chr15",34720745,34723551,"distal","chr15",34965863,34971297,"promoter",1.14172005183377e-11,"chr15:34720745-34723551_chr15:34965863-34971297","pe"
"62","chr15",34720745,34723551,"distal","chr15",34984639,34990512,"promoter",6.83142431512351e-12,"chr15:34720745-34723551_chr15:34984639-34990512","pe"
"63","chr15",34752552,34756869,"promoter","chr15",34984639,34990512,"promoter",4.64151672652235e-09,"chr15:34752552-34756869_chr15:34984639-34990512","pp"
"64","chr15",34794052,34797530,"promoter","chr15",34965863,34971297,"promoter",0.000454558531448268,"chr15:34794052-34797530_chr15:34965863-34971297","pp"
"65","chr15",34965863,34971297,"promoter","chr15",36399848,36404254,"distal",3.15645420756461e-06,"chr15:34965863-34971297_chr15:36399848-36404254","pe"
"66","chr15",34984639,34990512,"promoter","chr15",35167216,35169661,"distal",6.20503648463e-13,"chr15:34984639-34990512_chr15:35167216-35169661","pe"
"67","chr15",34984639,34990512,"promoter","chr15",35543915,35549603,"promoter",0,"chr15:34984639-34990512_chr15:35543915-35549603","pp"
"68","chr15",34984639,34990512,"promoter","chr15",36782465,36787092,"gene.body",1.37169664515824e-09,"chr15:34984639-34990512_chr15:36782465-36787092","pe"
"69","chr15",34984639,34990512,"promoter","chr15",36879235,36890198,"promoter",1.80641853630981e-06,"chr15:34984639-34990512_chr15:36879235-36890198","pp"
"70","chr15",35167216,35169661,"distal","chr15",37089416,37112431,"promoter",5.07149877648772e-13,"chr15:35167216-35169661_chr15:37089416-37112431","pe"
"71","chr15",35434797,35436877,"gene.body","chr15",37089416,37112431,"promoter",9.45465927770783e-13,"chr15:35434797-35436877_chr15:37089416-37112431","pe"
"72","chr15",35517828,35520036,"terminator","chr15",37089416,37112431,"promoter",2.00171634823221e-09,"chr15:35517828-35520036_chr15:37089416-37112431","pe"
"73","chr15",35543915,35549603,"promoter","chr15",35696924,35699881,"gene.body",0.000806093875256653,"chr15:35543915-35549603_chr15:35696924-35699881","pe"
"74","chr15",35543915,35549603,"promoter","chr15",37055145,37059294,"gene.body",2.93658593342183e-06,"chr15:35543915-35549603_chr15:37055145-37059294","pe"
"75","chr15",35543915,35549603,"promoter","chr15",37089416,37112431,"promoter",0,"chr15:35543915-35549603_chr15:37089416-37112431","pp"
"76","chr15",35753995,35756639,"gene.body","chr15",37089416,37112431,"promoter",3.59716109565866e-06,"chr15:35753995-35756639_chr15:37089416-37112431","pe"
"77","chr15",36277447,36281486,"distal","chr15",36399848,36404254,"distal",1.29955212224697e-06,"chr15:36277447-36281486_chr15:36399848-36404254","ee"
"78","chr15",36399848,36404254,"distal","chr15",36879235,36890198,"promoter",2.77605681517912e-05,"chr15:36399848-36404254_chr15:36879235-36890198","pe"
"79","chr15",36399848,36404254,"distal","chr15",37089416,37112431,"promoter",0,"chr15:36399848-36404254_chr15:37089416-37112431","pe"
"80","chr15",36496465,36501006,"distal","chr15",37089416,37112431,"promoter",0,"chr15:36496465-36501006_chr15:37089416-37112431","pe"
"81","chr15",36501758,36504379,"distal","chr15",36879235,36890198,"promoter",1.51062540920677e-07,"chr15:36501758-36504379_chr15:36879235-36890198","pe"
"82","chr15",36501758,36504379,"distal","chr15",37089416,37112431,"promoter",0,"chr15:36501758-36504379_chr15:37089416-37112431","pe"
"83","chr15",36526365,36528962,"distal","chr15",36879235,36890198,"promoter",4.9574289118226e-10,"chr15:36526365-36528962_chr15:36879235-36890198","pe"
"84","chr15",36577527,36584123,"promoter","chr15",36597181,36600995,"gene.body",0.000110252697582691,"chr15:36577527-36584123_chr15:36597181-36600995","pe"
"85","chr15",36577527,36584123,"promoter","chr15",36753860,36763718,"promoter",3.10660679403441e-08,"chr15:36577527-36584123_chr15:36753860-36763718","pp"
"86","chr15",36577527,36584123,"promoter","chr15",36879235,36890198,"promoter",0,"chr15:36577527-36584123_chr15:36879235-36890198","pp"
"87","chr15",36577527,36584123,"promoter","chr15",37899217,37902340,"distal",3.63369312417205e-09,"chr15:36577527-36584123_chr15:37899217-37902340","pe"
"88","chr15",36597181,36600995,"gene.body","chr15",37089416,37112431,"promoter",1.60316204755873e-13,"chr15:36597181-36600995_chr15:37089416-37112431","pe"
"89","chr15",36597181,36600995,"gene.body","chr15",38249980,38267783,"promoter",1.829906226547e-09,"chr15:36597181-36600995_chr15:38249980-38267783","pe"
"90","chr15",36635652,36637134,"gene.body","chr15",36879235,36890198,"promoter",0.000138587752507968,"chr15:36635652-36637134_chr15:36879235-36890198","pe"
"91","chr15",36676271,36679516,"gene.body","chr15",37089416,37112431,"promoter",1.07284644279559e-07,"chr15:36676271-36679516_chr15:37089416-37112431","pe"
"92","chr15",36753860,36763718,"promoter","chr15",36879235,36890198,"promoter",1.41579636903089e-10,"chr15:36753860-36763718_chr15:36879235-36890198","pp"
"93","chr15",36753860,36763718,"promoter","chr15",37089416,37112431,"promoter",0,"chr15:36753860-36763718_chr15:37089416-37112431","pp"
"94","chr15",36782465,36787092,"gene.body","chr15",37089416,37112431,"promoter",9.2580831889677e-10,"chr15:36782465-36787092_chr15:37089416-37112431","pe"
"95","chr15",36879235,36890198,"promoter","chr15",37013964,37017397,"gene.body",0,"chr15:36879235-36890198_chr15:37013964-37017397","pe"
"96","chr15",36879235,36890198,"promoter","chr15",37055145,37059294,"gene.body",0,"chr15:36879235-36890198_chr15:37055145-37059294","pe"
"97","chr15",36879235,36890198,"promoter","chr15",38249980,38267783,"promoter",3.17318815667988e-09,"chr15:36879235-36890198_chr15:38249980-38267783","pp"
"98","chr15",36951214,36953780,"gene.body","chr15",37085625,37088345,"gene.body",0.00148672712632436,"chr15:36951214-36953780_chr15:37085625-37088345","others"
"99","chr15",36951214,36953780,"gene.body","chr15",37089416,37112431,"promoter",0,"chr15:36951214-36953780_chr15:37089416-37112431","pe"
"100","chr15",37013964,37017397,"gene.body","chr15",37089416,37112431,"promoter",0,"chr15:37013964-37017397_chr15:37089416-37112431","pe"
"101","chr15",37055145,37059294,"gene.body","chr15",37089416,37112431,"promoter",0,"chr15:37055145-37059294_chr15:37089416-37112431","pe"
"102","chr15",37076754,37081792,"gene.body","chr15",37089416,37112431,"promoter",2.34701147405758e-13,"chr15:37076754-37081792_chr15:37089416-37112431","pe"
"103","chr15",37085625,37088345,"gene.body","chr15",37089416,37112431,"promoter",1.40890818345341e-06,"chr15:37085625-37088345_chr15:37089416-37112431","pe"
"104","chr15",37089416,37112431,"promoter","chr15",38249980,38267783,"promoter",0,"chr15:37089416-37112431_chr15:38249980-38267783","pp"
"105","chr15",38067304,38075667,"promoter","chr15",38127977,38132992,"distal",0,"chr15:38067304-38075667_chr15:38127977-38132992","pe"
"106","chr15",38067304,38075667,"promoter","chr15",38249980,38267783,"promoter",0,"chr15:38067304-38075667_chr15:38249980-38267783","pp"
"107","chr15",38067304,38075667,"promoter","chr15",39577869,39586698,"promoter",2.5944248971399e-09,"chr15:38067304-38075667_chr15:39577869-39586698","pp"
"108","chr15",38067304,38075667,"promoter","chr15",39781099,39787479,"promoter",9.41913214091983e-13,"chr15:38067304-38075667_chr15:39781099-39787479","pp"
"109","chr15",38067304,38075667,"promoter","chr15",39917439,39922386,"promoter",1.30829058697657e-09,"chr15:38067304-38075667_chr15:39917439-39922386","pp"
"110","chr15",38127977,38132992,"distal","chr15",39781099,39787479,"promoter",1.77231007647549e-09,"chr15:38127977-38132992_chr15:39781099-39787479","pe"
"111","chr15",38249980,38267783,"promoter","chr15",38562797,38566471,"promoter",0,"chr15:38249980-38267783_chr15:38562797-38566471","pp"
"112","chr15",38249980,38267783,"promoter","chr15",39577869,39586698,"promoter",2.62057042732522e-12,"chr15:38249980-38267783_chr15:39577869-39586698","pp"
"113","chr15",38249980,38267783,"promoter","chr15",39776047,39779647,"gene.body",2.3139605787037e-09,"chr15:38249980-38267783_chr15:39776047-39779647","pe"
"114","chr15",38249980,38267783,"promoter","chr15",40101998,40110762,"promoter",1.29290356198908e-09,"chr15:38249980-38267783_chr15:40101998-40110762","pp"
"115","chr15",38452784,38456305,"promoter","chr15",38667436,38670225,"promoter",1.13686837721616e-13,"chr15:38452784-38456305_chr15:38667436-38670225","pp"
"116","chr15",38452784,38456305,"promoter","chr15",38705091,38706943,"gene.body",0.000132591524110048,"chr15:38452784-38456305_chr15:38705091-38706943","pe"
"117","chr15",38452784,38456305,"promoter","chr15",39577869,39586698,"promoter",5.51196954745592e-09,"chr15:38452784-38456305_chr15:39577869-39586698","pp"
"118","chr15",38452784,38456305,"promoter","chr15",40381225,40385737,"promoter",5.47339951140202e-13,"chr15:38452784-38456305_chr15:40381225-40385737","pp"
"119","chr15",38562797,38566471,"promoter","chr15",38667436,38670225,"promoter",0,"chr15:38562797-38566471_chr15:38667436-38670225","pp"
"120","chr15",38562797,38566471,"promoter","chr15",40355218,40360561,"promoter",2.07224545323292e-06,"chr15:38562797-38566471_chr15:40355218-40360561","pp"
"121","chr15",38705091,38706943,"gene.body","chr15",39577869,39586698,"promoter",1.16455733945031e-11,"chr15:38705091-38706943_chr15:39577869-39586698","pe"
"122","chr15",38705091,38706943,"gene.body","chr15",40043858,40046372,"terminator",3.64297237065436e-06,"chr15:38705091-38706943_chr15:40043858-40046372","others"
"123","chr15",39209043,39215762,"gene.body","chr15",39781099,39787479,"promoter",1.9515327136288e-05,"chr15:39209043-39215762_chr15:39781099-39787479","pe"
"124","chr15",39269088,39272387,"promoter","chr15",39577869,39586698,"promoter",0,"chr15:39269088-39272387_chr15:39577869-39586698","pp"
"125","chr15",39269088,39272387,"promoter","chr15",39781099,39787479,"promoter",2.57195758758266e-05,"chr15:39269088-39272387_chr15:39781099-39787479","pp"
"126","chr15",39303105,39306227,"gene.body","chr15",39577869,39586698,"promoter",1.77735492989939e-09,"chr15:39303105-39306227_chr15:39577869-39586698","pe"
"127","chr15",39577869,39586698,"promoter","chr15",39690088,39694421,"gene.body",6.85850953807687e-09,"chr15:39577869-39586698_chr15:39690088-39694421","pe"
"128","chr15",39577869,39586698,"promoter","chr15",39776047,39779647,"gene.body",0,"chr15:39577869-39586698_chr15:39776047-39779647","pe"
"129","chr15",39577869,39586698,"promoter","chr15",39781099,39787479,"promoter",0,"chr15:39577869-39586698_chr15:39781099-39787479","pp"
"130","chr15",39577869,39586698,"promoter","chr15",39974806,39978369,"terminator",0,"chr15:39577869-39586698_chr15:39974806-39978369","pe"
"131","chr15",39577869,39586698,"promoter","chr15",40035071,40041258,"promoter",0,"chr15:39577869-39586698_chr15:40035071-40041258","pp"
"132","chr15",39577869,39586698,"promoter","chr15",40101998,40110762,"promoter",2.22044604925031e-16,"chr15:39577869-39586698_chr15:40101998-40110762","pp"
"133","chr15",39690088,39694421,"gene.body","chr15",40159968,40165159,"promoter",3.1088323054651e-05,"chr15:39690088-39694421_chr15:40159968-40165159","pe"
"134","chr15",39776047,39779647,"gene.body","chr15",39781099,39787479,"promoter",0,"chr15:39776047-39779647_chr15:39781099-39787479","pe"
"135","chr15",39776047,39779647,"gene.body","chr15",39917439,39922386,"promoter",0,"chr15:39776047-39779647_chr15:39917439-39922386","pe"
"136","chr15",39776047,39779647,"gene.body","chr15",39974806,39978369,"terminator",5.83569859102795e-11,"chr15:39776047-39779647_chr15:39974806-39978369","others"
"137","chr15",39776047,39779647,"gene.body","chr15",40035071,40041258,"promoter",0,"chr15:39776047-39779647_chr15:40035071-40041258","pe"
"138","chr15",39776047,39779647,"gene.body","chr15",40159968,40165159,"promoter",3.54689944082054e-10,"chr15:39776047-39779647_chr15:40159968-40165159","pe"
"139","chr15",39776047,39779647,"gene.body","chr15",40434248,40446899,"promoter",3.59589025222817e-11,"chr15:39776047-39779647_chr15:40434248-40446899","pe"
"140","chr15",39776047,39779647,"gene.body","chr15",40692542,40698502,"promoter",9.7512984353898e-09,"chr15:39776047-39779647_chr15:40692542-40698502","pe"
"141","chr15",39781099,39787479,"promoter","chr15",39917439,39922386,"promoter",0,"chr15:39781099-39787479_chr15:39917439-39922386","pp"
"142","chr15",39781099,39787479,"promoter","chr15",39974806,39978369,"terminator",0,"chr15:39781099-39787479_chr15:39974806-39978369","pe"
"143","chr15",39781099,39787479,"promoter","chr15",40035071,40041258,"promoter",0,"chr15:39781099-39787479_chr15:40035071-40041258","pp"
"144","chr15",39781099,39787479,"promoter","chr15",40043858,40046372,"terminator",0,"chr15:39781099-39787479_chr15:40043858-40046372","pe"
"145","chr15",39781099,39787479,"promoter","chr15",40096653,40100633,"gene.body",7.92389648684999e-05,"chr15:39781099-39787479_chr15:40096653-40100633","pe"
"146","chr15",39781099,39787479,"promoter","chr15",40101998,40110762,"promoter",0,"chr15:39781099-39787479_chr15:40101998-40110762","pp"
"147","chr15",39781099,39787479,"promoter","chr15",40149340,40154953,"distal",5.09101735961526e-05,"chr15:39781099-39787479_chr15:40149340-40154953","pe"
"148","chr15",39781099,39787479,"promoter","chr15",40159968,40165159,"promoter",0,"chr15:39781099-39787479_chr15:40159968-40165159","pp"
"149","chr15",39781099,39787479,"promoter","chr15",40321593,40329530,"promoter",2.25725526212806e-05,"chr15:39781099-39787479_chr15:40321593-40329530","pp"
"150","chr15",39917439,39922386,"promoter","chr15",40043858,40046372,"terminator",1.3575091606377e-08,"chr15:39917439-39922386_chr15:40043858-40046372","pe"
"151","chr15",39917439,39922386,"promoter","chr15",40159968,40165159,"promoter",0,"chr15:39917439-39922386_chr15:40159968-40165159","pp"
"152","chr15",39917439,39922386,"promoter","chr15",40278706,40300304,"promoter",0,"chr15:39917439-39922386_chr15:40278706-40300304","pp"
"153","chr15",39917439,39922386,"promoter","chr15",40321593,40329530,"promoter",1.24942547197193e-07,"chr15:39917439-39922386_chr15:40321593-40329530","pp"
"154","chr15",39917439,39922386,"promoter","chr15",40336299,40342592,"promoter",2.41473396833669e-10,"chr15:39917439-39922386_chr15:40336299-40342592","pp"
"155","chr15",39917439,39922386,"promoter","chr15",40588888,40592006,"distal",1.40673397236446e-05,"chr15:39917439-39922386_chr15:40588888-40592006","pe"
"156","chr15",39932065,39938227,"promoter","chr15",40035071,40041258,"promoter",0,"chr15:39932065-39938227_chr15:40035071-40041258","pp"
"157","chr15",39932065,39938227,"promoter","chr15",40080134,40083265,"promoter",1.53214605268515e-05,"chr15:39932065-39938227_chr15:40080134-40083265","pp"
"158","chr15",39932065,39938227,"promoter","chr15",40101998,40110762,"promoter",0,"chr15:39932065-39938227_chr15:40101998-40110762","pp"
"159","chr15",39932065,39938227,"promoter","chr15",40159968,40165159,"promoter",0,"chr15:39932065-39938227_chr15:40159968-40165159","pp"
"160","chr15",39932065,39938227,"promoter","chr15",40805536,40810783,"promoter",8.58807124193284e-06,"chr15:39932065-39938227_chr15:40805536-40810783","pp"
"161","chr15",39974806,39978369,"terminator","chr15",40101998,40110762,"promoter",0,"chr15:39974806-39978369_chr15:40101998-40110762","pe"
"162","chr15",39974806,39978369,"terminator","chr15",40237506,40243364,"promoter",2.28006835634176e-09,"chr15:39974806-39978369_chr15:40237506-40243364","pe"
"163","chr15",39974806,39978369,"terminator","chr15",40336299,40342592,"promoter",5.33598584167017e-05,"chr15:39974806-39978369_chr15:40336299-40342592","pe"
"164","chr15",39974806,39978369,"terminator","chr15",40381225,40385737,"promoter",1.28883616890008e-07,"chr15:39974806-39978369_chr15:40381225-40385737","pe"
"165","chr15",39974806,39978369,"terminator","chr15",40434248,40446899,"promoter",2.59126053947512e-13,"chr15:39974806-39978369_chr15:40434248-40446899","pe"
"166","chr15",39974806,39978369,"terminator","chr15",40761436,40773064,"promoter",1.01620490949861e-05,"chr15:39974806-39978369_chr15:40761436-40773064","pe"
"167","chr15",40035071,40041258,"promoter","chr15",40043858,40046372,"terminator",0,"chr15:40035071-40041258_chr15:40043858-40046372","pe"
"168","chr15",40035071,40041258,"promoter","chr15",40080134,40083265,"promoter",0.000624159691987258,"chr15:40035071-40041258_chr15:40080134-40083265","pp"
"169","chr15",40035071,40041258,"promoter","chr15",40149340,40154953,"distal",3.40838468559923e-13,"chr15:40035071-40041258_chr15:40149340-40154953","pe"
"170","chr15",40035071,40041258,"promoter","chr15",40237506,40243364,"promoter",0,"chr15:40035071-40041258_chr15:40237506-40243364","pp"
"171","chr15",40035071,40041258,"promoter","chr15",40278706,40300304,"promoter",0,"chr15:40035071-40041258_chr15:40278706-40300304","pp"
"172","chr15",40035071,40041258,"promoter","chr15",40312865,40314728,"distal",0.000103830758612755,"chr15:40035071-40041258_chr15:40312865-40314728","pe"
"173","chr15",40035071,40041258,"promoter","chr15",40434248,40446899,"promoter",0,"chr15:40035071-40041258_chr15:40434248-40446899","pp"
"174","chr15",40035071,40041258,"promoter","chr15",40562025,40567033,"promoter",5.55610821795227e-08,"chr15:40035071-40041258_chr15:40562025-40567033","pp"
"175","chr15",40035071,40041258,"promoter","chr15",40567556,40571903,"promoter",5.37004962719578e-08,"chr15:40035071-40041258_chr15:40567556-40571903","pp"
"176","chr15",40035071,40041258,"promoter","chr15",40581304,40585464,"distal",2.24696423816173e-05,"chr15:40035071-40041258_chr15:40581304-40585464","pe"
"177","chr15",40035071,40041258,"promoter","chr15",40592839,40597652,"promoter",4.99590634417402e-08,"chr15:40035071-40041258_chr15:40592839-40597652","pp"
"178","chr15",40043858,40046372,"terminator","chr15",40101998,40110762,"promoter",4.42945778944548e-08,"chr15:40043858-40046372_chr15:40101998-40110762","pe"
"179","chr15",40043858,40046372,"terminator","chr15",40149340,40154953,"distal",6.45101824847671e-07,"chr15:40043858-40046372_chr15:40149340-40154953","others"
"180","chr15",40043858,40046372,"terminator","chr15",40159968,40165159,"promoter",0,"chr15:40043858-40046372_chr15:40159968-40165159","pe"
"181","chr15",40043858,40046372,"terminator","chr15",40237506,40243364,"promoter",2.35073579646361e-06,"chr15:40043858-40046372_chr15:40237506-40243364","pe"
"182","chr15",40043858,40046372,"terminator","chr15",40278706,40300304,"promoter",8.3389212368612e-07,"chr15:40043858-40046372_chr15:40278706-40300304","pe"
"183","chr15",40080134,40083265,"promoter","chr15",40159968,40165159,"promoter",0.000216237130251096,"chr15:40080134-40083265_chr15:40159968-40165159","pp"
"184","chr15",40080134,40083265,"promoter","chr15",40251490,40254116,"promoter",0.000479403346382856,"chr15:40080134-40083265_chr15:40251490-40254116","pp"
"185","chr15",40080134,40083265,"promoter","chr15",40278706,40300304,"promoter",0.000239685198723749,"chr15:40080134-40083265_chr15:40278706-40300304","pp"
"186","chr15",40080134,40083265,"promoter","chr15",40381225,40385737,"promoter",3.95270135400416e-07,"chr15:40080134-40083265_chr15:40381225-40385737","pp"
"187","chr15",40080134,40083265,"promoter","chr15",40434248,40446899,"promoter",2.06954090531397e-07,"chr15:40080134-40083265_chr15:40434248-40446899","pp"
"188","chr15",40096653,40100633,"gene.body","chr15",40101998,40110762,"promoter",2.23107088359598e-11,"chr15:40096653-40100633_chr15:40101998-40110762","pe"
"189","chr15",40096653,40100633,"gene.body","chr15",40434248,40446899,"promoter",7.63897167743721e-10,"chr15:40096653-40100633_chr15:40434248-40446899","pe"
