"","hAstro","U3028"
"chr15:20210437-20226923_chr15:20406134-20423728",1,0
"chr15:20210437-20226923_chr15:21056719-21081395",1,0
"chr15:20227810-20230333_chr15:20319543-20359651",1,0
"chr15:20227810-20230333_chr15:20406134-20423728",1,0
"chr15:20319543-20359651_chr15:20370330-20377844",1,0
"chr15:20319543-20359651_chr15:20406134-20423728",1,0
"chr15:20319543-20359651_chr15:21037939-21054894",1,0
"chr15:20319543-20359651_chr15:21056719-21081395",1,0
"chr15:20319543-20359651_chr15:21117781-21126630",1,0
"chr15:20319543-20359651_chr15:21281587-21286575",1,0
"chr15:20319543-20359651_chr15:21530734-21539242",1,0
"chr15:20319543-20359651_chr15:22282590-22292488",1,0
"chr15:20319543-20359651_chr15:22298989-22304169",1,0
"chr15:20370330-20377844_chr15:20406134-20423728",1,0
"chr15:20370330-20377844_chr15:21037939-21054894",1,0
"chr15:20370330-20377844_chr15:22298989-22304169",1,0
"chr15:20383829-20390783_chr15:22282590-22292488",1,0
"chr15:20397854-20401885_chr15:22298989-22304169",1,0
"chr15:20406134-20423728_chr15:20641996-20655267",1,0
"chr15:20406134-20423728_chr15:21640095-21642575",1,0
"chr15:20406134-20423728_chr15:22282590-22292488",1,0
"chr15:20406134-20423728_chr15:22298989-22304169",1,0
"chr15:20425437-20429980_chr15:22298989-22304169",1,0
"chr15:20641996-20655267_chr15:20655896-20660722",1,0
"chr15:20641996-20655267_chr15:21056719-21081395",1,0
"chr15:20655896-20660722_chr15:20667623-20682260",1,0
"chr15:20655896-20660722_chr15:21056719-21081395",1,0
"chr15:20655896-20660722_chr15:22298989-22304169",1,0
"chr15:22491925-22497810_chr15:22836947-22842739",0,1
"chr15:22491925-22497810_chr15:23560790-23572771",0,1
"chr15:22662607-22668409_chr15:22783892-22796574",0,1
"chr15:22662607-22668409_chr15:22836947-22842739",0,1
"chr15:22713702-22717216_chr15:22836947-22842739",1,0
"chr15:22783892-22796574_chr15:22836947-22842739",1,1
"chr15:22783892-22796574_chr15:23560790-23572771",0,1
"chr15:22836947-22842739_chr15:22977297-22982277",0,1
"chr15:22836947-22842739_chr15:23560790-23572771",0,1
"chr15:23530907-23535835_chr15:24854175-24860816",1,0
"chr15:23530907-23535835_chr15:25044024-25085981",1,1
"chr15:23560790-23572771_chr15:23642154-23650027",1,1
"chr15:23632317-23635150_chr15:23859624-23862091",1,0
"chr15:23642154-23650027_chr15:23859624-23862091",1,0
"chr15:23642154-23650027_chr15:23911557-23913597",0,1
"chr15:23642154-23650027_chr15:24771482-24774857",1,0
"chr15:23642154-23650027_chr15:24846074-24851437",1,0
"chr15:23642154-23650027_chr15:24854175-24860816",1,0
"chr15:23642154-23650027_chr15:25480347-25483822",0,1
"chr15:23685123-23687973_chr15:24846074-24851437",1,0
"chr15:24771482-24774857_chr15:25044024-25085981",1,0
"chr15:24771482-24774857_chr15:25261032-25263444",1,0
"chr15:24846074-24851437_chr15:24854175-24860816",1,0
"chr15:24846074-24851437_chr15:25044024-25085981",1,0
"chr15:24854175-24860816_chr15:24953757-24958824",1,1
"chr15:24854175-24860816_chr15:25044024-25085981",1,0
"chr15:24876606-24879426_chr15:25044024-25085981",1,0
"chr15:24953757-24958824_chr15:25044024-25085981",1,1
"chr15:24953757-24958824_chr15:25669097-25672047",0,1
"chr15:25039864-25043522_chr15:25044024-25085981",1,0
"chr15:25044024-25085981_chr15:25169724-25180124",1,0
"chr15:25044024-25085981_chr15:25197281-25208335",1,0
"chr15:25044024-25085981_chr15:25216391-25238415",1,0
"chr15:25044024-25085981_chr15:25309408-25316582",1,0
"chr15:25044024-25085981_chr15:25432124-25440977",1,1
"chr15:25044024-25085981_chr15:25490026-25492769",1,0
"chr15:25044024-25085981_chr15:25859354-25865061",0,1
"chr15:25216391-25238415_chr15:25432124-25440977",1,0
"chr15:25309408-25316582_chr15:25432124-25440977",1,0
"chr15:25415051-25417907_chr15:25682351-25686869",0,1
"chr15:25419704-25423291_chr15:25682351-25686869",0,1
"chr15:25432124-25440977_chr15:25669097-25672047",0,1
"chr15:25432124-25440977_chr15:25847657-25853203",1,1
"chr15:25847657-25853203_chr15:25859354-25865061",1,0
"chr15:27327581-27329908_chr15:27587156-27590724",0,1
"chr15:33193344-33196391_chr15:33199594-33203518",0,1
"chr15:33308887-33313094_chr15:34098771-34104136",0,1
"chr15:34037019-34040601_chr15:34098771-34104136",0,1
"chr15:34037019-34040601_chr15:34206781-34211477",0,1
"chr15:34037019-34040601_chr15:34222941-34227571",0,1
"chr15:34037019-34040601_chr15:34334321-34339319",0,1
"chr15:34037019-34040601_chr15:34340172-34344132",0,1
"chr15:34037019-34040601_chr15:34363948-34369467",0,1
"chr15:34037019-34040601_chr15:34512205-34516531",0,1
"chr15:34037019-34040601_chr15:34579527-34590381",0,1
"chr15:34046460-34052373_chr15:34160028-34163731",1,0
"chr15:34046460-34052373_chr15:34579527-34590381",1,0
"chr15:34098771-34104136_chr15:34206781-34211477",0,1
"chr15:34098771-34104136_chr15:34222941-34227571",1,1
"chr15:34098771-34104136_chr15:34317395-34319709",0,1
"chr15:34098771-34104136_chr15:34334321-34339319",0,1
"chr15:34098771-34104136_chr15:34340172-34344132",0,1
"chr15:34098771-34104136_chr15:34363948-34369467",0,1
"chr15:34098771-34104136_chr15:34512205-34516531",0,1
"chr15:34098771-34104136_chr15:34579527-34590381",0,1
"chr15:34153674-34156972_chr15:34363948-34369467",0,1
"chr15:34206781-34211477_chr15:34222941-34227571",1,1
"chr15:34206781-34211477_chr15:34334321-34339319",0,1
"chr15:34206781-34211477_chr15:34340172-34344132",0,1
"chr15:34206781-34211477_chr15:34363948-34369467",1,0
"chr15:34206781-34211477_chr15:34512205-34516531",0,1
"chr15:34206781-34211477_chr15:34579527-34590381",1,1
"chr15:34206781-34211477_chr15:34984639-34990512",0,1
"chr15:34222941-34227571_chr15:34317395-34319709",0,1
"chr15:34222941-34227571_chr15:34334321-34339319",0,1
"chr15:34222941-34227571_chr15:34340172-34344132",1,1
"chr15:34222941-34227571_chr15:34363948-34369467",1,1
"chr15:34222941-34227571_chr15:34434533-34439658",1,1
"chr15:34222941-34227571_chr15:34512205-34516531",0,1
"chr15:34222941-34227571_chr15:34579527-34590381",0,1
"chr15:34222941-34227571_chr15:34984639-34990512",0,1
"chr15:34317395-34319709_chr15:34334321-34339319",0,1
"chr15:34317395-34319709_chr15:34512205-34516531",0,1
"chr15:34334321-34339319_chr15:34340172-34344132",1,1
"chr15:34334321-34339319_chr15:34363948-34369467",1,1
"chr15:34334321-34339319_chr15:34512205-34516531",0,1
"chr15:34334321-34339319_chr15:34579527-34590381",0,1
"chr15:34334321-34339319_chr15:34984639-34990512",0,1
"chr15:34340172-34344132_chr15:34363948-34369467",1,1
"chr15:34340172-34344132_chr15:34512205-34516531",0,1
"chr15:34340172-34344132_chr15:34579527-34590381",1,1
"chr15:34340172-34344132_chr15:34984639-34990512",0,1
"chr15:34363948-34369467_chr15:34512205-34516531",0,1
"chr15:34363948-34369467_chr15:34579527-34590381",1,1
"chr15:34434533-34439658_chr15:34512205-34516531",0,1
"chr15:34434533-34439658_chr15:34579527-34590381",1,1
"chr15:34512205-34516531_chr15:34579527-34590381",0,1
"chr15:34512205-34516531_chr15:34965863-34971297",0,1
"chr15:34512205-34516531_chr15:34984639-34990512",0,1
"chr15:34579527-34590381_chr15:34794052-34797530",0,1
"chr15:34579527-34590381_chr15:34965863-34971297",0,1
"chr15:34579527-34590381_chr15:34984639-34990512",1,0
"chr15:34720745-34723551_chr15:34965863-34971297",0,1
"chr15:34720745-34723551_chr15:34984639-34990512",0,1
"chr15:34752552-34756869_chr15:34984639-34990512",0,1
"chr15:34794052-34797530_chr15:34965863-34971297",0,1
"chr15:34965863-34971297_chr15:34984639-34990512",1,1
"chr15:34965863-34971297_chr15:36399848-36404254",0,1
"chr15:34984639-34990512_chr15:35167216-35169661",0,1
"chr15:34984639-34990512_chr15:35543915-35549603",0,1
"chr15:34984639-34990512_chr15:36782465-36787092",0,1
"chr15:34984639-34990512_chr15:36879235-36890198",0,1
"chr15:35167216-35169661_chr15:37089416-37112431",0,1
"chr15:35434797-35436877_chr15:37089416-37112431",0,1
"chr15:35517828-35520036_chr15:37089416-37112431",0,1
"chr15:35543915-35549603_chr15:35696924-35699881",0,1
"chr15:35543915-35549603_chr15:37055145-37059294",0,1
"chr15:35543915-35549603_chr15:37089416-37112431",0,1
"chr15:35753995-35756639_chr15:37089416-37112431",0,1
"chr15:36277447-36281486_chr15:36399848-36404254",0,1
"chr15:36277447-36281486_chr15:37089416-37112431",1,0
"chr15:36399848-36404254_chr15:36879235-36890198",0,1
"chr15:36399848-36404254_chr15:37089416-37112431",0,1
"chr15:36496465-36501006_chr15:37089416-37112431",0,1
"chr15:36501758-36504379_chr15:36879235-36890198",0,1
"chr15:36501758-36504379_chr15:37089416-37112431",0,1
"chr15:36526365-36528962_chr15:36879235-36890198",0,1
"chr15:36577527-36584123_chr15:36597181-36600995",0,1
"chr15:36577527-36584123_chr15:36753860-36763718",0,1
"chr15:36577527-36584123_chr15:36879235-36890198",0,1
"chr15:36577527-36584123_chr15:37089416-37112431",1,1
"chr15:36577527-36584123_chr15:37899217-37902340",0,1
"chr15:36597181-36600995_chr15:37089416-37112431",0,1
"chr15:36597181-36600995_chr15:38249980-38267783",0,1
"chr15:36635652-36637134_chr15:36879235-36890198",0,1
"chr15:36676271-36679516_chr15:37089416-37112431",0,1
"chr15:36753860-36763718_chr15:36879235-36890198",0,1
"chr15:36753860-36763718_chr15:37089416-37112431",0,1
"chr15:36782465-36787092_chr15:37089416-37112431",0,1
"chr15:36879235-36890198_chr15:37013964-37017397",0,1
"chr15:36879235-36890198_chr15:37055145-37059294",0,1
"chr15:36879235-36890198_chr15:37089416-37112431",1,1
"chr15:36879235-36890198_chr15:38249980-38267783",0,1
"chr15:36951214-36953780_chr15:37085625-37088345",0,1
"chr15:36951214-36953780_chr15:37089416-37112431",0,1
"chr15:37013964-37017397_chr15:37089416-37112431",0,1
"chr15:37055145-37059294_chr15:37089416-37112431",0,1
"chr15:37076754-37081792_chr15:37089416-37112431",0,1
"chr15:37085625-37088345_chr15:37089416-37112431",0,1
"chr15:37089416-37112431_chr15:38249980-38267783",0,1
"chr15:37315317-37322432_chr15:37451384-37454041",1,0
"chr15:38067304-38075667_chr15:38127977-38132992",0,1
"chr15:38067304-38075667_chr15:38249980-38267783",0,1
"chr15:38067304-38075667_chr15:39577869-39586698",0,1
"chr15:38067304-38075667_chr15:39781099-39787479",0,1
"chr15:38067304-38075667_chr15:39917439-39922386",0,1
"chr15:38119301-38122079_chr15:38249980-38267783",1,0
"chr15:38127977-38132992_chr15:38249980-38267783",1,1
"chr15:38127977-38132992_chr15:38452784-38456305",1,0
"chr15:38127977-38132992_chr15:39781099-39787479",0,1
"chr15:38140368-38146978_chr15:38249980-38267783",1,1
"chr15:38249980-38267783_chr15:38452784-38456305",1,1
"chr15:38249980-38267783_chr15:38562797-38566471",0,1
"chr15:38249980-38267783_chr15:39577869-39586698",0,1
"chr15:38249980-38267783_chr15:39776047-39779647",0,1
"chr15:38249980-38267783_chr15:40101998-40110762",0,1
"chr15:38452784-38456305_chr15:38562797-38566471",1,1
"chr15:38452784-38456305_chr15:38667436-38670225",0,1
"chr15:38452784-38456305_chr15:38705091-38706943",0,1
"chr15:38452784-38456305_chr15:39577869-39586698",0,1
"chr15:38452784-38456305_chr15:40355218-40360561",1,0
"chr15:38452784-38456305_chr15:40381225-40385737",0,1
"chr15:38562797-38566471_chr15:38667436-38670225",0,1
"chr15:38562797-38566471_chr15:40355218-40360561",0,1
"chr15:38705091-38706943_chr15:39577869-39586698",0,1
"chr15:38705091-38706943_chr15:40043858-40046372",0,1
"chr15:39209043-39215762_chr15:39577869-39586698",1,1
"chr15:39209043-39215762_chr15:39781099-39787479",0,1
"chr15:39269088-39272387_chr15:39577869-39586698",0,1
"chr15:39269088-39272387_chr15:39781099-39787479",0,1
"chr15:39303105-39306227_chr15:39577869-39586698",0,1
"chr15:39577869-39586698_chr15:39690088-39694421",0,1
"chr15:39577869-39586698_chr15:39776047-39779647",0,1
"chr15:39577869-39586698_chr15:39781099-39787479",0,1
"chr15:39577869-39586698_chr15:39917439-39922386",1,1
"chr15:39577869-39586698_chr15:39932065-39938227",1,1
"chr15:39577869-39586698_chr15:39974806-39978369",0,1
"chr15:39577869-39586698_chr15:40035071-40041258",0,1
"chr15:39577869-39586698_chr15:40101998-40110762",0,1
"chr15:39690088-39694421_chr15:40159968-40165159",0,1
"chr15:39776047-39779647_chr15:39781099-39787479",0,1
"chr15:39776047-39779647_chr15:39917439-39922386",0,1
"chr15:39776047-39779647_chr15:39974806-39978369",0,1
"chr15:39776047-39779647_chr15:40035071-40041258",0,1
"chr15:39776047-39779647_chr15:40159968-40165159",0,1
"chr15:39776047-39779647_chr15:40434248-40446899",0,1
"chr15:39776047-39779647_chr15:40692542-40698502",0,1
"chr15:39781099-39787479_chr15:39917439-39922386",0,1
"chr15:39781099-39787479_chr15:39932065-39938227",1,1
"chr15:39781099-39787479_chr15:39943225-39946638",1,0
"chr15:39781099-39787479_chr15:39974806-39978369",0,1
"chr15:39781099-39787479_chr15:40035071-40041258",0,1
"chr15:39781099-39787479_chr15:40043858-40046372",0,1
"chr15:39781099-39787479_chr15:40096653-40100633",0,1
"chr15:39781099-39787479_chr15:40101998-40110762",0,1
"chr15:39781099-39787479_chr15:40149340-40154953",0,1
"chr15:39781099-39787479_chr15:40159968-40165159",0,1
"chr15:39781099-39787479_chr15:40278706-40300304",1,1
"chr15:39781099-39787479_chr15:40321593-40329530",0,1
"chr15:39917439-39922386_chr15:39932065-39938227",1,1
"chr15:39917439-39922386_chr15:39974806-39978369",1,1
"chr15:39917439-39922386_chr15:40010269-40016450",1,0
"chr15:39917439-39922386_chr15:40035071-40041258",1,1
"chr15:39917439-39922386_chr15:40043858-40046372",0,1
"chr15:39917439-39922386_chr15:40159968-40165159",0,1
"chr15:39917439-39922386_chr15:40278706-40300304",0,1
"chr15:39917439-39922386_chr15:40321593-40329530",0,1
"chr15:39917439-39922386_chr15:40336299-40342592",0,1
"chr15:39917439-39922386_chr15:40588888-40592006",0,1
"chr15:39932065-39938227_chr15:39974806-39978369",1,1
"chr15:39932065-39938227_chr15:40035071-40041258",0,1
"chr15:39932065-39938227_chr15:40080134-40083265",0,1
"chr15:39932065-39938227_chr15:40101998-40110762",0,1
"chr15:39932065-39938227_chr15:40159968-40165159",0,1
"chr15:39932065-39938227_chr15:40381225-40385737",1,0
"chr15:39932065-39938227_chr15:40805536-40810783",0,1
"chr15:39974806-39978369_chr15:40010269-40016450",1,1
"chr15:39974806-39978369_chr15:40035071-40041258",1,1
"chr15:39974806-39978369_chr15:40101998-40110762",0,1
"chr15:39974806-39978369_chr15:40237506-40243364",0,1
"chr15:39974806-39978369_chr15:40336299-40342592",0,1
"chr15:39974806-39978369_chr15:40381225-40385737",0,1
"chr15:39974806-39978369_chr15:40434248-40446899",0,1
"chr15:39974806-39978369_chr15:40761436-40773064",0,1
"chr15:40010269-40016450_chr15:40159968-40165159",1,1
"chr15:40035071-40041258_chr15:40043858-40046372",0,1
"chr15:40035071-40041258_chr15:40080134-40083265",0,1
"chr15:40035071-40041258_chr15:40101998-40110762",1,1
"chr15:40035071-40041258_chr15:40149340-40154953",0,1
"chr15:40035071-40041258_chr15:40159968-40165159",1,1
"chr15:40035071-40041258_chr15:40237506-40243364",0,1
"chr15:40035071-40041258_chr15:40251490-40254116",1,1
"chr15:40035071-40041258_chr15:40278706-40300304",0,1
"chr15:40035071-40041258_chr15:40312865-40314728",0,1
"chr15:40035071-40041258_chr15:40321593-40329530",1,0
"chr15:40035071-40041258_chr15:40336299-40342592",1,1
"chr15:40035071-40041258_chr15:40355218-40360561",1,0
"chr15:40035071-40041258_chr15:40404012-40409141",1,1
"chr15:40035071-40041258_chr15:40434248-40446899",0,1
"chr15:40035071-40041258_chr15:40562025-40567033",0,1
"chr15:40035071-40041258_chr15:40567556-40571903",0,1
"chr15:40035071-40041258_chr15:40581304-40585464",0,1
"chr15:40035071-40041258_chr15:40592839-40597652",0,1
"chr15:40043858-40046372_chr15:40101998-40110762",0,1
"chr15:40043858-40046372_chr15:40149340-40154953",0,1
"chr15:40043858-40046372_chr15:40159968-40165159",0,1
"chr15:40043858-40046372_chr15:40237506-40243364",0,1
"chr15:40043858-40046372_chr15:40278706-40300304",0,1
"chr15:40080134-40083265_chr15:40101998-40110762",1,1
"chr15:40080134-40083265_chr15:40159968-40165159",0,1
"chr15:40080134-40083265_chr15:40251490-40254116",0,1
"chr15:40080134-40083265_chr15:40278706-40300304",0,1
"chr15:40080134-40083265_chr15:40381225-40385737",0,1
"chr15:40080134-40083265_chr15:40434248-40446899",0,1
"chr15:40096653-40100633_chr15:40101998-40110762",0,1
"chr15:40096653-40100633_chr15:40434248-40446899",0,1
"chr15:40101998-40110762_chr15:40149340-40154953",0,1
"chr15:40101998-40110762_chr15:40159968-40165159",1,1
"chr15:40101998-40110762_chr15:40237506-40243364",0,1
"chr15:40101998-40110762_chr15:40278706-40300304",0,1
"chr15:40101998-40110762_chr15:40321593-40329530",0,1
"chr15:40101998-40110762_chr15:40434248-40446899",1,1
"chr15:40101998-40110762_chr15:40592839-40597652",0,1
"chr15:40101998-40110762_chr15:40692542-40698502",0,1
"chr15:40101998-40110762_chr15:40951727-40956792",0,1
"chr15:40101998-40110762_chr15:41229462-41233747",0,1
"chr15:40101998-40110762_chr15:41619874-41623742",0,1
"chr15:40149340-40154953_chr15:40159968-40165159",0,1
"chr15:40149340-40154953_chr15:40278706-40300304",0,1
"chr15:40149340-40154953_chr15:40336299-40342592",0,1
"chr15:40159968-40165159_chr15:40237506-40243364",1,1
"chr15:40159968-40165159_chr15:40278706-40300304",0,1
"chr15:40159968-40165159_chr15:40321593-40329530",0,1
"chr15:40159968-40165159_chr15:40336299-40342592",0,1
"chr15:40159968-40165159_chr15:40434248-40446899",0,1
"chr15:40159968-40165159_chr15:40562025-40567033",0,1
"chr15:40159968-40165159_chr15:40567556-40571903",0,1
"chr15:40159968-40165159_chr15:40939949-40946446",1,0
"chr15:40237506-40243364_chr15:40381225-40385737",1,0
"chr15:40237506-40243364_chr15:40434248-40446899",0,1
"chr15:40237506-40243364_chr15:40567556-40571903",0,1
"chr15:40251490-40254116_chr15:40434248-40446899",1,1
"chr15:40278706-40300304_chr15:40321593-40329530",1,1
"chr15:40278706-40300304_chr15:40336299-40342592",1,1
"chr15:40278706-40300304_chr15:40404012-40409141",1,1
"chr15:40278706-40300304_chr15:40434248-40446899",1,1
"chr15:40278706-40300304_chr15:40465228-40480467",0,1
"chr15:40278706-40300304_chr15:40506103-40513521",1,0
"chr15:40278706-40300304_chr15:40562025-40567033",1,0
"chr15:40278706-40300304_chr15:40567556-40571903",1,0
"chr15:40278706-40300304_chr15:40592839-40597652",0,1
"chr15:40278706-40300304_chr15:40892696-40897589",1,0
"chr15:40312865-40314728_chr15:40434248-40446899",0,1
"chr15:40321593-40329530_chr15:40336299-40342592",1,1
"chr15:40321593-40329530_chr15:40355218-40360561",1,1
"chr15:40321593-40329530_chr15:40381225-40385737",0,1
"chr15:40321593-40329530_chr15:40404012-40409141",0,1
"chr15:40321593-40329530_chr15:40434248-40446899",1,1
"chr15:40321593-40329530_chr15:40465228-40480467",1,1
"chr15:40321593-40329530_chr15:40506103-40513521",0,1
"chr15:40321593-40329530_chr15:40567556-40571903",0,1
"chr15:40321593-40329530_chr15:40692542-40698502",1,1
"chr15:40321593-40329530_chr15:40805536-40810783",0,1
"chr15:40321593-40329530_chr15:40923331-40935672",1,0
"chr15:40321593-40329530_chr15:41229462-41233747",0,1
"chr15:40321593-40329530_chr15:42206028-42210488",0,1
"chr15:40336299-40342592_chr15:40355218-40360561",1,1
"chr15:40336299-40342592_chr15:40381225-40385737",1,1
"chr15:40336299-40342592_chr15:40404012-40409141",1,1
"chr15:40336299-40342592_chr15:40434248-40446899",1,1
"chr15:40336299-40342592_chr15:40465228-40480467",1,1
"chr15:40336299-40342592_chr15:40506103-40513521",0,1
"chr15:40336299-40342592_chr15:40562025-40567033",0,1
"chr15:40336299-40342592_chr15:40588888-40592006",0,1
"chr15:40336299-40342592_chr15:40592839-40597652",1,1
"chr15:40336299-40342592_chr15:40692542-40698502",0,1
"chr15:40336299-40342592_chr15:40751498-40756900",0,1
"chr15:40336299-40342592_chr15:40761436-40773064",0,1
"chr15:40336299-40342592_chr15:40871298-40875978",0,1
"chr15:40336299-40342592_chr15:40892696-40897589",0,1
"chr15:40336299-40342592_chr15:40951727-40956792",0,1
"chr15:40336299-40342592_chr15:41329796-41339270",0,1
"chr15:40355218-40360561_chr15:40381225-40385737",1,1
"chr15:40355218-40360561_chr15:40404012-40409141",1,1
"chr15:40355218-40360561_chr15:40434248-40446899",0,1
"chr15:40355218-40360561_chr15:40465228-40480467",0,1
"chr15:40355218-40360561_chr15:40506103-40513521",0,1
"chr15:40355218-40360561_chr15:40592839-40597652",0,1
"chr15:40355218-40360561_chr15:40692542-40698502",0,1
"chr15:40355218-40360561_chr15:40751498-40756900",0,1
"chr15:40355218-40360561_chr15:40761436-40773064",0,1
"chr15:40355218-40360561_chr15:40892696-40897589",0,1
"chr15:40355218-40360561_chr15:41772613-41781179",0,1
"chr15:40381225-40385737_chr15:40404012-40409141",1,1
"chr15:40381225-40385737_chr15:40434248-40446899",1,1
"chr15:40381225-40385737_chr15:40506103-40513521",1,0
"chr15:40381225-40385737_chr15:40562025-40567033",0,1
"chr15:40381225-40385737_chr15:40567556-40571903",0,1
"chr15:40381225-40385737_chr15:40592839-40597652",0,1
"chr15:40381225-40385737_chr15:40692542-40698502",0,1
