chr.x	start.x	end.x	chr.y	start.y	end.y	hAstro	U3028	loopWidth	mango.FDR	mango.P	loopID	total_counts
185023	chr15	20183050	20208457	chr15	20370330	20377844	5	0	178333	6.36461107463134e-10	1.51588519514689e-10	chr15:20183050-20208457_chr15:20370330-20377844	5
185024	chr15	20183050	20208457	chr15	20397854	20401885	2	0	204116	0.000426200437318432	0.00025110176526999	chr15:20183050-20208457_chr15:20397854-20401885	2
185025	chr15	20183050	20208457	chr15	20406134	20423728	4	0	219177	2.37139762369307e-08	6.62534993534081e-09	chr15:20183050-20208457_chr15:20406134-20423728	4
185026	chr15	20183050	20208457	chr15	21056719	21081395	2	0	873303	1.923203785037e-05	8.32887155077788e-06	chr15:20183050-20208457_chr15:21056719-21081395	2
185027	chr15	20183050	20208457	chr15	21188891	21193165	5	0	995274	2.98005455928501e-14	5.10702591327572e-15	chr15:20183050-20208457_chr15:21188891-21193165	5
185028	chr15	20210437	20226923	chr15	20231054	20317657	0	0	55675	1.20547366497309e-10	2.69957389775755e-11	chr15:20210437-20226923_chr15:20231054-20317657	0
185029	chr15	20210437	20226923	chr15	20319543	20359651	5	0	120917	1.39179622815221e-09	3.40589334513197e-10	chr15:20210437-20226923_chr15:20319543-20359651	5
185030	chr15	20210437	20226923	chr15	20370330	20377844	3	0	155407	2.01506661429425e-05	8.78190979358706e-06	chr15:20210437-20226923_chr15:20370330-20377844	3
185031	chr15	20210437	20226923	chr15	20397854	20401885	2	0	181189	0.000630508265373357	0.000379410646653255	chr15:20210437-20226923_chr15:20397854-20401885	2
185032	chr15	20210437	20226923	chr15	20406134	20423728	3	0	196251	6.04351576287154e-06	2.2604057055009e-06	chr15:20210437-20226923_chr15:20406134-20423728	3
185033	chr15	20210437	20226923	chr15	21056719	21081395	3	0	850377	4.23856354298078e-08	1.22677245029124e-08	chr15:20210437-20226923_chr15:21056719-21081395	3
185034	chr15	20227810	20230333	chr15	20319543	20359651	5	0	110525	6.97743865479786e-07	2.35419962857364e-07	chr15:20227810-20230333_chr15:20319543-20359651	5
185035	chr15	20227810	20230333	chr15	20406134	20423728	2	0	185859	0.0005892290270643	0.000353325776824676	chr15:20227810-20230333_chr15:20406134-20423728	2
185036	chr15	20231054	20317657	chr15	20319543	20359651	0	0	65241	0	0	chr15:20231054-20317657_chr15:20319543-20359651	0
185037	chr15	20231054	20317657	chr15	20383829	20390783	0	0	112950	0.00864775537816613	0.00564380893171101	chr15:20231054-20317657_chr15:20383829-20390783	0
185038	chr15	20231054	20317657	chr15	20406134	20423728	0	0	140575	6.66812552406522e-13	1.25011112572793e-13	chr15:20231054-20317657_chr15:20406134-20423728	0
185039	chr15	20231054	20317657	chr15	20578628	20583895	0	0	306906	0.000151631865019103	8.28922285978084e-05	chr15:20231054-20317657_chr15:20578628-20583895	0
185040	chr15	20231054	20317657	chr15	20641996	20655267	0	0	374276	4.488512400994e-12	8.87734330490275e-13	chr15:20231054-20317657_chr15:20641996-20655267	0
185041	chr15	20231054	20317657	chr15	20655896	20660722	0	0	383953	8.91832201850946e-05	4.63322709198799e-05	chr15:20231054-20317657_chr15:20655896-20660722	0
185042	chr15	20231054	20317657	chr15	20782235	20791427	0	0	512475	1.86368855339174e-07	5.87798890672175e-08	chr15:20231054-20317657_chr15:20782235-20791427	0
185043	chr15	20231054	20317657	chr15	21037939	21054894	0	0	772061	0	0	chr15:20231054-20317657_chr15:21037939-21054894	0
185044	chr15	20231054	20317657	chr15	21056719	21081395	0	0	794701	0	0	chr15:20231054-20317657_chr15:21056719-21081395	0
185045	chr15	20231054	20317657	chr15	21117781	21126630	0	0	847850	4.26845744169575e-08	1.23594574574781e-08	chr15:20231054-20317657_chr15:21117781-21126630	0
185046	chr15	20231054	20317657	chr15	21173374	21181044	0	0	902853	1.84267379522869e-05	7.93539157073475e-06	chr15:20231054-20317657_chr15:21173374-21181044	0
185047	chr15	20231054	20317657	chr15	21269286	21275449	0	0	998012	1.53289349001542e-05	6.44439981889455e-06	chr15:20231054-20317657_chr15:21269286-21275449	0
185048	chr15	20231054	20317657	chr15	21759412	21766268	0	0	1488484	7.67964544799121e-06	2.95537535355272e-06	chr15:20231054-20317657_chr15:21759412-21766268	0
185049	chr15	20231054	20317657	chr15	22222446	22231428	0	0	1952581	1.39863869458367e-15	2.22044604925031e-16	chr15:20231054-20317657_chr15:22222446-22231428	0
185050	chr15	20231054	20317657	chr15	22235830	22264129	0	0	1975624	0	0	chr15:20231054-20317657_chr15:22235830-22264129	0
185051	chr15	20231054	20317657	chr15	22272938	22277431	0	0	2000829	2.25783381886145e-12	4.36428670980149e-13	chr15:20231054-20317657_chr15:22272938-22277431	0
185052	chr15	20319543	20359651	chr15	20370330	20377844	25	0	34490	3.8019865396791e-08	1.09351405708225e-08	chr15:20319543-20359651_chr15:20370330-20377844	25
185053	chr15	20319543	20359651	chr15	20406134	20423728	18	0	75334	1.31005706630418e-05	5.39575012337146e-06	chr15:20319543-20359651_chr15:20406134-20423728	18
185054	chr15	20319543	20359651	chr15	21037939	21054894	3	0	706819	7.12543724710652e-08	2.12767827800775e-08	chr15:20319543-20359651_chr15:21037939-21054894	3
185055	chr15	20319543	20359651	chr15	21056719	21081395	5	0	729460	1.29179642241835e-13	2.30926389122033e-14	chr15:20319543-20359651_chr15:21056719-21081395	5
185056	chr15	20319543	20359651	chr15	21117781	21126630	2	0	782608	8.03997616323934e-11	1.77226011643938e-11	chr15:20319543-20359651_chr15:21117781-21126630	2
185057	chr15	20319543	20359651	chr15	21281587	21286575	2	0	944484	1.67391225501598e-05	7.1181647973706e-06	chr15:20319543-20359651_chr15:21281587-21286575	2
185058	chr15	20319543	20359651	chr15	21530734	21539242	1	0	1195391	1.11964279993891e-05	4.51730050288202e-06	chr15:20319543-20359651_chr15:21530734-21539242	1
185059	chr15	20319543	20359651	chr15	22222446	22231428	0	0	1887340	0	0	chr15:20319543-20359651_chr15:22222446-22231428	0
185060	chr15	20319543	20359651	chr15	22233532	22235302	0	0	1894820	4.92665889094038e-06	1.79905108455003e-06	chr15:20319543-20359651_chr15:22233532-22235302	0
185061	chr15	20319543	20359651	chr15	22235830	22264129	0	0	1910382	0	0	chr15:20319543-20359651_chr15:22235830-22264129	0
185062	chr15	20319543	20359651	chr15	22282590	22292488	2	0	1947942	4.75199935605257e-06	1.72870054748753e-06	chr15:20319543-20359651_chr15:22282590-22292488	2
185063	chr15	20319543	20359651	chr15	22298989	22304169	2	0	1961982	4.62822536616769e-06	1.67943616469213e-06	chr15:20319543-20359651_chr15:22298989-22304169	2
185064	chr15	20370330	20377844	chr15	20406134	20423728	16	0	40844	0.000932913191901351	0.000571506515341103	chr15:20370330-20377844_chr15:20406134-20423728	16
185065	chr15	20370330	20377844	chr15	21037939	21054894	3	0	672329	8.23350261263317e-08	2.47971519984347e-08	chr15:20370330-20377844_chr15:21037939-21054894	3
185066	chr15	20370330	20377844	chr15	22298989	22304169	2	0	1927492	4.79156514612295e-06	1.74467999458638e-06	chr15:20370330-20377844_chr15:22298989-22304169	2
185067	chr15	20383829	20390783	chr15	22282590	22292488	2	0	1900233	4.99187719508886e-06	1.8257025893309e-06	chr15:20383829-20390783_chr15:22282590-22292488	2
185068	chr15	20397854	20401885	chr15	22298989	22304169	3	0	1901709	4.57324224510575e-09	1.16270526540063e-09	chr15:20397854-20401885_chr15:22298989-22304169	3
185069	chr15	20406134	20423728	chr15	20641996	20655267	1	0	233700	0.000300179185571305	0.000172975369624129	chr15:20406134-20423728_chr15:20641996-20655267	1
185070	chr15	20406134	20423728	chr15	20655896	20660722	0	0	243378	0.000257841922226603	0.000146983878222873	chr15:20406134-20423728_chr15:20655896-20660722	0
185071	chr15	20406134	20423728	chr15	21640095	21642575	2	0	1226404	1.07118775455102e-05	4.29682158942235e-06	chr15:20406134-20423728_chr15:21640095-21642575	2
185072	chr15	20406134	20423728	chr15	22235830	22264129	0	0	1835048	3.26360359250567e-12	6.38378239159465e-13	chr15:20406134-20423728_chr15:22235830-22264129	0
185073	chr15	20406134	20423728	chr15	22282590	22292488	12	0	1872608	0	0	chr15:20406134-20423728_chr15:22282590-22292488	12
185074	chr15	20406134	20423728	chr15	22298989	22304169	11	0	1886648	0	0	chr15:20406134-20423728_chr15:22298989-22304169	11
185075	chr15	20425437	20429980	chr15	22298989	22304169	2	0	1873870	5.11498892139129e-06	1.87545991425786e-06	chr15:20425437-20429980_chr15:22298989-22304169	2
185076	chr15	20641996	20655267	chr15	20655896	20660722	2	0	9677	0	0	chr15:20641996-20655267_chr15:20655896-20660722	2
185077	chr15	20641996	20655267	chr15	20667623	20682260	0	0	26310	4.94913880032261e-08	1.44540823754369e-08	chr15:20641996-20655267_chr15:20667623-20682260	0
185078	chr15	20641996	20655267	chr15	21056719	21081395	1	0	420425	7.71299522483127e-05	3.94580083200591e-05	chr15:20641996-20655267_chr15:21056719-21081395	1
185079	chr15	20655896	20660722	chr15	20667623	20682260	1	0	16632	0	0	chr15:20655896-20660722_chr15:20667623-20682260	1
185080	chr15	20655896	20660722	chr15	21056719	21081395	1	0	410748	7.7809320588155e-05	3.98451964626068e-05	chr15:20655896-20660722_chr15:21056719-21081395	1
185081	chr15	20655896	20660722	chr15	21281587	21286575	0	0	625772	3.47903652268892e-05	1.6237872297542e-05	chr15:20655896-20660722_chr15:21281587-21286575	0
185082	chr15	20655896	20660722	chr15	22298989	22304169	2	0	1643270	6.44154750770349e-06	2.42722808863061e-06	chr15:20655896-20660722_chr15:22298989-22304169	2
185083	chr15	20667623	20682260	chr15	21269286	21275449	0	0	597426	1.19890019873739e-07	3.68893234847789e-08	chr15:20667623-20682260_chr15:21269286-21275449	0
185084	chr15	20811321	20816843	chr15	21379352	21384834	0	0	568011	4.16618442888591e-05	1.98811412446265e-05	chr15:20811321-20816843_chr15:21379352-21384834	0
185085	chr15	21448548	21456007	chr15	21885810	21893282	0	0	437268	7.18606860607267e-05	3.64900861022921e-05	chr15:21448548-21456007_chr15:21885810-21893282	0
185086	chr15	21530734	21539242	chr15	22783892	22796574	0	0	1255245	1.45440299619315e-08	3.94389487734514e-09	chr15:21530734-21539242_chr15:22783892-22796574	0
185087	chr15	22233532	22235302	chr15	22235830	22264129	0	0	15562	0.000492305504588154	0.000292433884606758	chr15:22233532-22235302_chr15:22235830-22264129	0
185088	chr15	22235830	22264129	chr15	22783892	22796574	0	0	540253	4.58198518236788e-05	2.21052253190912e-05	chr15:22235830-22264129_chr15:22783892-22796574	0
185089	chr15	22491925	22497810	chr15	22662607	22668409	0	0	170640	0.000780224111810608	0.00047428328588428	chr15:22491925-22497810_chr15:22662607-22668409	0
185090	chr15	22491925	22497810	chr15	22783892	22796574	0	0	295365	4.9616806983957e-09	1.26704158276425e-09	chr15:22491925-22497810_chr15:22783892-22796574	0
185091	chr15	22491925	22497810	chr15	22836947	22842739	0	3	344975	0	0	chr15:22491925-22497810_chr15:22836947-22842739	3
185092	chr15	22491925	22497810	chr15	23560790	23572771	0	3	1071913	2.24224703719303e-08	6.24251850211976e-09	chr15:22491925-22497810_chr15:23560790-23572771	3
185093	chr15	22639287	22641610	chr15	22836947	22842739	0	0	199394	5.65149433958152e-06	2.09714394738825e-06	chr15:22639287-22641610_chr15:22836947-22842739	0
185094	chr15	22662607	22668409	chr15	22783892	22796574	0	2	124725	0	0	chr15:22662607-22668409_chr15:22783892-22796574	2
185095	chr15	22662607	22668409	chr15	22836947	22842739	0	1	174335	0	0	chr15:22662607-22668409_chr15:22836947-22842739	1
185096	chr15	22713702	22717216	chr15	22836947	22842739	1	0	124384	7.53262105502423e-10	1.80558679119258e-10	chr15:22713702-22717216_chr15:22836947-22842739	1
185097	chr15	22713702	22717216	chr15	22977297	22982277	0	0	264328	1.8154068185155e-06	6.368520593103e-07	chr15:22713702-22717216_chr15:22977297-22982277	0
185098	chr15	22783892	22796574	chr15	22836947	22842739	1	13	49610	0	0	chr15:22783892-22796574_chr15:22836947-22842739	14
185099	chr15	22783892	22796574	chr15	23301935	23307744	0	0	514606	4.995433936385e-05	2.43441442469017e-05	chr15:22783892-22796574_chr15:23301935-23307744	0
185100	chr15	22783892	22796574	chr15	23560790	23572771	0	2	776547	0	0	chr15:22783892-22796574_chr15:23560790-23572771	2
185101	chr15	22836947	22842739	chr15	22977297	22982277	0	2	139944	8.69365151254059e-13	1.64090963039598e-13	chr15:22836947-22842739_chr15:22977297-22982277	2
185102	chr15	22836947	22842739	chr15	23301935	23307744	0	0	464996	1.25286915359619e-12	2.38808972596871e-13	chr15:22836947-22842739_chr15:23301935-23307744	0
185103	chr15	22836947	22842739	chr15	23560790	23572771	0	1	726937	0	0	chr15:22836947-22842739_chr15:23560790-23572771	1
185104	chr15	23301935	23307744	chr15	23560790	23572771	0	0	261941	0	0	chr15:23301935-23307744_chr15:23560790-23572771	0
185105	chr15	23301935	23307744	chr15	23642154	23650027	0	0	341251	0.000116301034379647	6.2065715051185e-05	chr15:23301935-23307744_chr15:23642154-23650027	0
185106	chr15	23301935	23307744	chr15	24854175	24860816	0	0	1552656	7.08853546142909e-06	2.70087229381488e-06	chr15:23301935-23307744_chr15:24854175-24860816	0
185107	chr15	23530907	23535835	chr15	24854175	24860816	1	0	1324124	9.3371123738951e-06	3.6794978388599e-06	chr15:23530907-23535835_chr15:24854175-24860816	1
185108	chr15	23530907	23535835	chr15	25044024	25085981	2	1	1531631	8.54978218909207e-09	2.24969443074485e-09	chr15:23530907-23535835_chr15:25044024-25085981	3
185109	chr15	23560790	23572771	chr15	23642154	23650027	1	5	79310	3.84619472516235e-06	1.38568471885758e-06	chr15:23560790-23572771_chr15:23642154-23650027	6
185110	chr15	23560790	23572771	chr15	23685123	23687973	0	0	119767	0.00515815172477607	0.00332899836036393	chr15:23560790-23572771_chr15:23685123-23687973	0
185111	chr15	23560790	23572771	chr15	24771482	24774857	0	0	1206389	1.1041358759549e-05	4.44624840589825e-06	chr15:23560790-23572771_chr15:24771482-24774857	0
185112	chr15	23560790	23572771	chr15	24953757	24958824	0	0	1389510	9.43592332140893e-12	1.91735516352765e-12	chr15:23560790-23572771_chr15:24953757-24958824	0
185113	chr15	23560790	23572771	chr15	25432124	25440977	0	0	1869770	1.39863869458367e-15	2.22044604925031e-16	chr15:23560790-23572771_chr15:25432124-25440977	0
185114	chr15	23632317	23635150	chr15	23859624	23862091	2	0	227124	0.000309896630240485	0.000178932232806517	chr15:23632317-23635150_chr15:23859624-23862091	2
185115	chr15	23642154	23650027	chr15	23859624	23862091	3	0	214767	4.26444933843478e-06	1.54119643813733e-06	chr15:23642154-23650027_chr15:23859624-23862091	3
185116	chr15	23642154	23650027	chr15	23911557	23913597	0	3	266486	8.54692632683816e-09	2.2489028417283e-09	chr15:23642154-23650027_chr15:23911557-23913597	3
185117	chr15	23642154	23650027	chr15	24771482	24774857	1	0	1127079	1.27200619796055e-05	5.21977330336654e-06	chr15:23642154-23650027_chr15:24771482-24774857	1
185118	chr15	23642154	23650027	chr15	24846074	24851437	1	0	1202665	1.87670784840093e-08	5.16712561626775e-09	chr15:23642154-23650027_chr15:24846074-24851437	1
185119	chr15	23642154	23650027	chr15	24854175	24860816	1	0	1211405	1.10495573449217e-05	4.45004275229088e-06	chr15:23642154-23650027_chr15:24854175-24860816	1
185120	chr15	23642154	23650027	chr15	24953757	24958824	0	0	1310200	8.7211605410235e-15	1.4432899320127e-15	chr15:23642154-23650027_chr15:24953757-24958824	0
185121	chr15	23642154	23650027	chr15	25044024	25085981	0	0	1418912	1.14097326793435e-08	3.05063097005842e-09	chr15:23642154-23650027_chr15:25044024-25085981	0
185122	chr15	23642154	23650027	chr15	25432124	25440977	0	0	1790460	5.70642434331664e-06	2.11987160447791e-06	chr15:23642154-23650027_chr15:25432124-25440977	0
185123	chr15	23642154	23650027	chr15	25480347	25483822	0	1	1835994	5.44018876588703e-06	2.00902957925297e-06	chr15:23642154-23650027_chr15:25480347-25483822	1
185124	chr15	23685123	23687973	chr15	24846074	24851437	2	0	1162207	1.28109683769537e-05	5.26225029662264e-06	chr15:23685123-23687973_chr15:24846074-24851437	2
185125	chr15	24053870	24056010	chr15	25044024	25085981	0	0	1010062	1.52511714718565e-05	6.40690983255698e-06	chr15:24053870-24056010_chr15:25044024-25085981	0
185126	chr15	24487385	24489513	chr15	25044024	25085981	0	0	576553	4.21237192929877e-05	2.01295347750374e-05	chr15:24487385-24489513_chr15:25044024-25085981	0
185127	chr15	24771482	24774857	chr15	24953757	24958824	0	0	183121	0	0	chr15:24771482-24774857_chr15:24953757-24958824	0
185128	chr15	24771482	24774857	chr15	25044024	25085981	2	0	291833	1.92327843031624e-11	4.01212396639039e-12	chr15:24771482-24774857_chr15:25044024-25085981	2
185129	chr15	24771482	24774857	chr15	25261032	25263444	2	0	489068	5.94533109753321e-05	2.9559309149052e-05	chr15:24771482-24774857_chr15:25261032-25263444	2
185130	chr15	24771482	24774857	chr15	26079817	26084434	0	0	1308956	9.67432503940941e-06	3.83001878057065e-06	chr15:24771482-24774857_chr15:26079817-26084434	0
185131	chr15	24821538	24824793	chr15	24953757	24958824	0	0	133125	0.00249289340129466	0.0015798039650663	chr15:24821538-24824793_chr15:24953757-24958824	0
185132	chr15	24846074	24851437	chr15	24854175	24860816	11	0	8740	2.94684860763187e-06	1.05220281398921e-06	chr15:24846074-24851437_chr15:24854175-24860816	11
185133	chr15	24846074	24851437	chr15	24953757	24958824	0	0	107535	3.49967469858946e-11	7.46847028665343e-12	chr15:24846074-24851437_chr15:24953757-24958824	0
185134	chr15	24846074	24851437	chr15	25044024	25085981	2	0	216247	1.7562969342186e-10	3.9913627958299e-11	chr15:24846074-24851437_chr15:25044024-25085981	2
185135	chr15	24854175	24860816	chr15	24953757	24958824	1	1	98795	0	0	chr15:24854175-24860816_chr15:24953757-24958824	2
185136	chr15	24854175	24860816	chr15	25044024	25085981	3	0	207507	0	0	chr15:24854175-24860816_chr15:25044024-25085981	3
185137	chr15	24876606	24879426	chr15	25044024	25085981	1	0	186986	2.36681700280807e-12	4.5807801996034e-13	chr15:24876606-24879426_chr15:25044024-25085981	1
185138	chr15	24953757	24958824	chr15	25044024	25085981	1	3	108712	0	0	chr15:24953757-24958824_chr15:25044024-25085981	4
185139	chr15	24953757	24958824	chr15	25432124	25440977	0	0	480260	0	0	chr15:24953757-24958824_chr15:25432124-25440977	0
185140	chr15	24953757	24958824	chr15	25669097	25672047	0	1	714281	7.12078401975459e-08	2.1262219429552e-08	chr15:24953757-24958824_chr15:25669097-25672047	1
185141	chr15	24953757	24958824	chr15	25847657	25853203	0	0	894139	5.10225568690459e-14	8.88178419700125e-15	chr15:24953757-24958824_chr15:25847657-25853203	0
185142	chr15	25039864	25043522	chr15	25044024	25085981	21	0	23309	1.87020520957272e-05	8.07032820615561e-06	chr15:25039864-25043522_chr15:25044024-25085981	21
185143	chr15	25044024	25085981	chr15	25169724	25180124	4	0	109921	8.52777866840389e-07	2.90377299982936e-07	chr15:25044024-25085981_chr15:25169724-25180124	4
185144	chr15	25044024	25085981	chr15	25197281	25208335	3	0	137805	1.33261679915551e-10	2.99547053828064e-11	chr15:25044024-25085981_chr15:25197281-25208335	3
185145	chr15	25044024	25085981	chr15	25216391	25238415	2	0	162400	1.78950488256771e-09	4.41198633183149e-10	chr15:25044024-25085981_chr15:25216391-25238415	2
185146	chr15	25044024	25085981	chr15	25309408	25316582	5	0	247992	5.19332778687621e-11	1.12554410236498e-11	chr15:25044024-25085981_chr15:25309408-25316582	5
185147	chr15	25044024	25085981	chr15	25432124	25440977	1	2	371548	0	0	chr15:25044024-25085981_chr15:25432124-25440977	3
185148	chr15	25044024	25085981	chr15	25490026	25492769	3	0	426395	3.39952699221359e-07	1.10741405379144e-07	chr15:25044024-25085981_chr15:25490026-25492769	3
185149	chr15	25044024	25085981	chr15	25859354	25865061	0	1	797205	5.43758729858866e-08	1.59673358979262e-08	chr15:25044024-25085981_chr15:25859354-25865061	1
185150	chr15	25216391	25238415	chr15	25432124	25440977	1	0	209147	0.00040145611009487	0.000235657196424377	chr15:25216391-25238415_chr15:25432124-25440977	1
