chr.x	start.x	end.x	name	score	value	exp	color	sourceChrom	sourceStart	sourceEnd	sourceName	sourceStrand	targetChrom	targetStart	targetEnd	targetName	targetStrand
185062	chr15	20319543	20359651	Chaitali_45	2	5.32312362687847	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	22282590	22292488	anchor2	+
185063	chr15	20319543	20359651	Chaitali_46	2	5.33458550172979	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	22298989	22304169	anchor2	+
185064	chr15	20370330	20377844	Chaitali_47	16	3.03015876571994	hAstro.specific	#1f78b4	chr15	20370330	20377844	anchor1	+	chr15	20406134	20423728	anchor2	+
185065	chr15	20370330	20377844	Chaitali_48	3	7.08441537235351	hAstro.specific	#1f78b4	chr15	20370330	20377844	anchor1	+	chr15	21037939	21054894	anchor2	+
185066	chr15	20370330	20377844	Chaitali_49	2	5.31952260280753	hAstro.specific	#1f78b4	chr15	20370330	20377844	anchor1	+	chr15	22298989	22304169	anchor2	+
185067	chr15	20383829	20390783	Chaitali_50	2	5.30173610725017	hAstro.specific	#1f78b4	chr15	20383829	20390783	anchor1	+	chr15	22282590	22292488	anchor2	+
185068	chr15	20397854	20401885	Chaitali_51	3	8.33977579338725	hAstro.specific	#1f78b4	chr15	20397854	20401885	anchor1	+	chr15	22298989	22304169	anchor2	+
185069	chr15	20406134	20423728	Chaitali_52	1	3.52261942503386	hAstro.specific	#1f78b4	chr15	20406134	20423728	anchor1	+	chr15	20641996	20655267	anchor2	+
185071	chr15	20406134	20423728	Chaitali_53	2	4.97013440067241	hAstro.specific	#1f78b4	chr15	20406134	20423728	anchor1	+	chr15	21640095	21642575	anchor2	+
185073	chr15	20406134	20423728	Chaitali_54	12	20	hAstro.specific	#1f78b4	chr15	20406134	20423728	anchor1	+	chr15	22282590	22292488	anchor2	+
185074	chr15	20406134	20423728	Chaitali_55	11	20	hAstro.specific	#1f78b4	chr15	20406134	20423728	anchor1	+	chr15	22298989	22304169	anchor2	+
185075	chr15	20425437	20429980	Chaitali_56	2	5.29115530259382	hAstro.specific	#1f78b4	chr15	20425437	20429980	anchor1	+	chr15	22298989	22304169	anchor2	+
185076	chr15	20641996	20655267	Chaitali_57	2	20	hAstro.specific	#1f78b4	chr15	20641996	20655267	anchor1	+	chr15	20655896	20660722	anchor2	+
185078	chr15	20641996	20655267	Chaitali_58	1	4.11277693751211	hAstro.specific	#1f78b4	chr15	20641996	20655267	anchor1	+	chr15	21056719	21081395	anchor2	+
185079	chr15	20655896	20660722	Chaitali_59	1	20	hAstro.specific	#1f78b4	chr15	20655896	20660722	anchor1	+	chr15	20667623	20682260	anchor2	+
185080	chr15	20655896	20660722	Chaitali_60	1	4.10896837682071	hAstro.specific	#1f78b4	chr15	20655896	20660722	anchor1	+	chr15	21056719	21081395	anchor2	+
185082	chr15	20655896	20660722	Chaitali_61	2	5.19100978585124	hAstro.specific	#1f78b4	chr15	20655896	20660722	anchor1	+	chr15	22298989	22304169	anchor2	+
185091	chr15	22491925	22497810	Chaitali_62	3	20	GB.specific	#e31a1c	chr15	22491925	22497810	anchor1	+	chr15	22836947	22842739	anchor2	+
185092	chr15	22491925	22497810	Chaitali_63	3	7.64931654117038	GB.specific	#e31a1c	chr15	22491925	22497810	anchor1	+	chr15	23560790	23572771	anchor2	+
185094	chr15	22662607	22668409	Chaitali_64	2	20	GB.specific	#e31a1c	chr15	22662607	22668409	anchor1	+	chr15	22783892	22796574	anchor2	+
185095	chr15	22662607	22668409	Chaitali_65	1	20	GB.specific	#e31a1c	chr15	22662607	22668409	anchor1	+	chr15	22836947	22842739	anchor2	+
185096	chr15	22713702	22717216	Chaitali_66	1	9.12305388015158	hAstro.specific	#1f78b4	chr15	22713702	22717216	anchor1	+	chr15	22836947	22842739	anchor2	+
185098	chr15	22783892	22796574	Chaitali_67	14	20	common	#a0a0a0	chr15	22783892	22796574	anchor1	+	chr15	22836947	22842739	anchor2	+
185100	chr15	22783892	22796574	Chaitali_68	2	20	GB.specific	#e31a1c	chr15	22783892	22796574	anchor1	+	chr15	23560790	23572771	anchor2	+
185101	chr15	22836947	22842739	Chaitali_69	2	12.0607977726124	GB.specific	#e31a1c	chr15	22836947	22842739	anchor1	+	chr15	22977297	22982277	anchor2	+
185103	chr15	22836947	22842739	Chaitali_70	1	20	GB.specific	#e31a1c	chr15	22836947	22842739	anchor1	+	chr15	23560790	23572771	anchor2	+
185107	chr15	23530907	23535835	Chaitali_71	1	5.02978741434631	hAstro.specific	#1f78b4	chr15	23530907	23535835	anchor1	+	chr15	24854175	24860816	anchor2	+
185108	chr15	23530907	23535835	Chaitali_72	3	8.0680449490473	common	#a0a0a0	chr15	23530907	23535835	anchor1	+	chr15	25044024	25085981	anchor2	+
185109	chr15	23560790	23572771	Chaitali_73	6	5.41496873207812	common	#a0a0a0	chr15	23560790	23572771	anchor1	+	chr15	23642154	23650027	anchor2	+
185114	chr15	23632317	23635150	Chaitali_74	2	3.50878314617414	hAstro.specific	#1f78b4	chr15	23632317	23635150	anchor1	+	chr15	23859624	23862091	anchor2	+
185115	chr15	23642154	23650027	Chaitali_75	3	5.37013704063221	hAstro.specific	#1f78b4	chr15	23642154	23650027	anchor1	+	chr15	23859624	23862091	anchor2	+
185116	chr15	23642154	23650027	Chaitali_76	3	8.06819003957491	GB.specific	#e31a1c	chr15	23642154	23650027	anchor1	+	chr15	23911557	23913597	anchor2	+
185117	chr15	23642154	23650027	Chaitali_77	1	4.89551077254491	hAstro.specific	#1f78b4	chr15	23642154	23650027	anchor1	+	chr15	24771482	24774857	anchor2	+
185118	chr15	23642154	23650027	Chaitali_78	1	7.72660332977753	hAstro.specific	#1f78b4	chr15	23642154	23650027	anchor1	+	chr15	24846074	24851437	anchor2	+
185119	chr15	23642154	23650027	Chaitali_79	1	4.95665511985295	hAstro.specific	#1f78b4	chr15	23642154	23650027	anchor1	+	chr15	24854175	24860816	anchor2	+
185123	chr15	23642154	23650027	Chaitali_80	1	5.26438603071344	GB.specific	#e31a1c	chr15	23642154	23650027	anchor1	+	chr15	25480347	25483822	anchor2	+
185124	chr15	23685123	23687973	Chaitali_81	2	4.89241804083518	hAstro.specific	#1f78b4	chr15	23685123	23687973	anchor1	+	chr15	24846074	24851437	anchor2	+
185128	chr15	24771482	24774857	Chaitali_82	2	10.7159578390081	hAstro.specific	#1f78b4	chr15	24771482	24774857	anchor1	+	chr15	25044024	25085981	anchor2	+
185129	chr15	24771482	24774857	Chaitali_83	2	4.22582395436276	hAstro.specific	#1f78b4	chr15	24771482	24774857	anchor1	+	chr15	25261032	25263444	anchor2	+
185132	chr15	24846074	24851437	Chaitali_84	11	5.53064217516431	hAstro.specific	#1f78b4	chr15	24846074	24851437	anchor1	+	chr15	24854175	24860816	anchor2	+
185134	chr15	24846074	24851437	Chaitali_85	2	9.75540205677231	hAstro.specific	#1f78b4	chr15	24846074	24851437	anchor1	+	chr15	25044024	25085981	anchor2	+
185135	chr15	24854175	24860816	Chaitali_86	2	20	common	#a0a0a0	chr15	24854175	24860816	anchor1	+	chr15	24953757	24958824	anchor2	+
185136	chr15	24854175	24860816	Chaitali_87	3	20	hAstro.specific	#1f78b4	chr15	24854175	24860816	anchor1	+	chr15	25044024	25085981	anchor2	+
185137	chr15	24876606	24879426	Chaitali_88	1	11.6258353194866	hAstro.specific	#1f78b4	chr15	24876606	24879426	anchor1	+	chr15	25044024	25085981	anchor2	+
185138	chr15	24953757	24958824	Chaitali_89	4	20	common	#a0a0a0	chr15	24953757	24958824	anchor1	+	chr15	25044024	25085981	anchor2	+
185140	chr15	24953757	24958824	Chaitali_90	1	7.14747218660083	GB.specific	#e31a1c	chr15	24953757	24958824	anchor1	+	chr15	25669097	25672047	anchor2	+
185142	chr15	25039864	25043522	Chaitali_91	21	4.72811073758359	hAstro.specific	#1f78b4	chr15	25039864	25043522	anchor1	+	chr15	25044024	25085981	anchor2	+
185143	chr15	25044024	25085981	Chaitali_92	4	6.06916407993315	hAstro.specific	#1f78b4	chr15	25044024	25085981	anchor1	+	chr15	25169724	25180124	anchor2	+
185144	chr15	25044024	25085981	Chaitali_93	3	9.87529471625582	hAstro.specific	#1f78b4	chr15	25044024	25085981	anchor1	+	chr15	25197281	25208335	anchor2	+
185145	chr15	25044024	25085981	Chaitali_94	2	8.74726711232325	hAstro.specific	#1f78b4	chr15	25044024	25085981	anchor1	+	chr15	25216391	25238415	anchor2	+
185146	chr15	25044024	25085981	Chaitali_95	5	10.284554265208	hAstro.specific	#1f78b4	chr15	25044024	25085981	anchor1	+	chr15	25309408	25316582	anchor2	+
185147	chr15	25044024	25085981	Chaitali_96	3	20	common	#a0a0a0	chr15	25044024	25085981	anchor1	+	chr15	25432124	25440977	anchor2	+
185148	chr15	25044024	25085981	Chaitali_97	3	6.46858150618192	hAstro.specific	#1f78b4	chr15	25044024	25085981	anchor1	+	chr15	25490026	25492769	anchor2	+
185149	chr15	25044024	25085981	Chaitali_98	1	7.26459375753322	GB.specific	#e31a1c	chr15	25044024	25085981	anchor1	+	chr15	25859354	25865061	anchor2	+
185150	chr15	25216391	25238415	Chaitali_99	1	3.39636192780876	hAstro.specific	#1f78b4	chr15	25216391	25238415	anchor1	+	chr15	25432124	25440977	anchor2	+
185151	chr15	25309408	25316582	Chaitali_100	4	5.48462337939004	hAstro.specific	#1f78b4	chr15	25309408	25316582	anchor1	+	chr15	25432124	25440977	anchor2	+
185152	chr15	25415051	25417907	Chaitali_101	2	3.66203257125582	GB.specific	#e31a1c	chr15	25415051	25417907	anchor1	+	chr15	25682351	25686869	anchor2	+
185153	chr15	25419704	25423291	Chaitali_102	2	3.65177887166245	GB.specific	#e31a1c	chr15	25419704	25423291	anchor1	+	chr15	25682351	25686869	anchor2	+
185154	chr15	25432124	25440977	Chaitali_103	2	3.53920008286786	GB.specific	#e31a1c	chr15	25432124	25440977	anchor1	+	chr15	25669097	25672047	anchor2	+
185156	chr15	25432124	25440977	Chaitali_104	2	4.11171569505347	common	#a0a0a0	chr15	25432124	25440977	anchor1	+	chr15	25847657	25853203	anchor2	+
185162	chr15	25847657	25853203	Chaitali_105	1	11.7748771817475	hAstro.specific	#1f78b4	chr15	25847657	25853203	anchor1	+	chr15	25859354	25865061	anchor2	+
185199	chr15	27327581	27329908	Chaitali_106	1	3.66536767500545	GB.specific	#e31a1c	chr15	27327581	27329908	anchor1	+	chr15	27587156	27590724	anchor2	+
185200	chr15	33193344	33196391	Chaitali_107	5	6.13034098382948	GB.specific	#e31a1c	chr15	33193344	33196391	anchor1	+	chr15	33199594	33203518	anchor2	+
185206	chr15	33308887	33313094	Chaitali_108	1	4.62465058897126	GB.specific	#e31a1c	chr15	33308887	33313094	anchor1	+	chr15	34098771	34104136	anchor2	+
185210	chr15	34037019	34040601	Chaitali_109	3	5.68881907321055	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34098771	34104136	anchor2	+
185211	chr15	34037019	34040601	Chaitali_110	2	20	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34206781	34211477	anchor2	+
185212	chr15	34037019	34040601	Chaitali_111	2	20	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34222941	34227571	anchor2	+
185213	chr15	34037019	34040601	Chaitali_112	3	10.7631986679467	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34334321	34339319	anchor2	+
185214	chr15	34037019	34040601	Chaitali_113	1	13.3997971821238	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34340172	34344132	anchor2	+
185215	chr15	34037019	34040601	Chaitali_114	2	20	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34363948	34369467	anchor2	+
185217	chr15	34037019	34040601	Chaitali_115	2	20	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34512205	34516531	anchor2	+
185218	chr15	34037019	34040601	Chaitali_116	1	20	GB.specific	#e31a1c	chr15	34037019	34040601	anchor1	+	chr15	34579527	34590381	anchor2	+
185220	chr15	34046460	34052373	Chaitali_117	1	3.41500258460918	hAstro.specific	#1f78b4	chr15	34046460	34052373	anchor1	+	chr15	34160028	34163731	anchor2	+
185226	chr15	34046460	34052373	Chaitali_118	1	9.43272449320974	hAstro.specific	#1f78b4	chr15	34046460	34052373	anchor1	+	chr15	34579527	34590381	anchor2	+
185228	chr15	34098771	34104136	Chaitali_119	8	20	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34206781	34211477	anchor2	+
185229	chr15	34098771	34104136	Chaitali_120	18	20	common	#a0a0a0	chr15	34098771	34104136	anchor1	+	chr15	34222941	34227571	anchor2	+
185230	chr15	34098771	34104136	Chaitali_121	1	5.40834947609168	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34317395	34319709	anchor2	+
185231	chr15	34098771	34104136	Chaitali_122	6	20	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34334321	34339319	anchor2	+
185232	chr15	34098771	34104136	Chaitali_123	3	20	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34340172	34344132	anchor2	+
185233	chr15	34098771	34104136	Chaitali_124	1	20	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34363948	34369467	anchor2	+
185234	chr15	34098771	34104136	Chaitali_125	3	20	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34512205	34516531	anchor2	+
185235	chr15	34098771	34104136	Chaitali_126	4	20	GB.specific	#e31a1c	chr15	34098771	34104136	anchor1	+	chr15	34579527	34590381	anchor2	+
185239	chr15	34153674	34156972	Chaitali_127	2	5.34583609684346	GB.specific	#e31a1c	chr15	34153674	34156972	anchor1	+	chr15	34363948	34369467	anchor2	+
185243	chr15	34206781	34211477	Chaitali_128	12	20	common	#a0a0a0	chr15	34206781	34211477	anchor1	+	chr15	34222941	34227571	anchor2	+
185244	chr15	34206781	34211477	Chaitali_129	4	20	GB.specific	#e31a1c	chr15	34206781	34211477	anchor1	+	chr15	34334321	34339319	anchor2	+
185245	chr15	34206781	34211477	Chaitali_130	3	20	GB.specific	#e31a1c	chr15	34206781	34211477	anchor1	+	chr15	34340172	34344132	anchor2	+
185246	chr15	34206781	34211477	Chaitali_131	1	20	hAstro.specific	#1f78b4	chr15	34206781	34211477	anchor1	+	chr15	34363948	34369467	anchor2	+
185248	chr15	34206781	34211477	Chaitali_132	2	20	GB.specific	#e31a1c	chr15	34206781	34211477	anchor1	+	chr15	34512205	34516531	anchor2	+
185249	chr15	34206781	34211477	Chaitali_133	2	20	common	#a0a0a0	chr15	34206781	34211477	anchor1	+	chr15	34579527	34590381	anchor2	+
185251	chr15	34206781	34211477	Chaitali_134	1	13.0212796051279	GB.specific	#e31a1c	chr15	34206781	34211477	anchor1	+	chr15	34984639	34990512	anchor2	+
185252	chr15	34222941	34227571	Chaitali_135	5	2.49134927621084	GB.specific	#e31a1c	chr15	34222941	34227571	anchor1	+	chr15	34317395	34319709	anchor2	+
185253	chr15	34222941	34227571	Chaitali_136	10	20	GB.specific	#e31a1c	chr15	34222941	34227571	anchor1	+	chr15	34334321	34339319	anchor2	+
185254	chr15	34222941	34227571	Chaitali_137	8	20	common	#a0a0a0	chr15	34222941	34227571	anchor1	+	chr15	34340172	34344132	anchor2	+
185255	chr15	34222941	34227571	Chaitali_138	6	20	common	#a0a0a0	chr15	34222941	34227571	anchor1	+	chr15	34363948	34369467	anchor2	+
185256	chr15	34222941	34227571	Chaitali_139	2	20	common	#a0a0a0	chr15	34222941	34227571	anchor1	+	chr15	34434533	34439658	anchor2	+
185257	chr15	34222941	34227571	Chaitali_140	5	20	GB.specific	#e31a1c	chr15	34222941	34227571	anchor1	+	chr15	34512205	34516531	anchor2	+
185258	chr15	34222941	34227571	Chaitali_141	2	20	GB.specific	#e31a1c	chr15	34222941	34227571	anchor1	+	chr15	34579527	34590381	anchor2	+
185260	chr15	34222941	34227571	Chaitali_142	1	20	GB.specific	#e31a1c	chr15	34222941	34227571	anchor1	+	chr15	34984639	34990512	anchor2	+
185263	chr15	34317395	34319709	Chaitali_143	10	4.61367618283191	GB.specific	#e31a1c	chr15	34317395	34319709	anchor1	+	chr15	34334321	34339319	anchor2	+
185264	chr15	34317395	34319709	Chaitali_144	1	5.20926924743991	GB.specific	#e31a1c	chr15	34317395	34319709	anchor1	+	chr15	34512205	34516531	anchor2	+
185265	chr15	34334321	34339319	Chaitali_145	24	20	common	#a0a0a0	chr15	34334321	34339319	anchor1	+	chr15	34340172	34344132	anchor2	+
185266	chr15	34334321	34339319	Chaitali_146	13	20	common	#a0a0a0	chr15	34334321	34339319	anchor1	+	chr15	34363948	34369467	anchor2	+
185267	chr15	34334321	34339319	Chaitali_147	3	20	GB.specific	#e31a1c	chr15	34334321	34339319	anchor1	+	chr15	34512205	34516531	anchor2	+
185268	chr15	34334321	34339319	Chaitali_148	6	20	GB.specific	#e31a1c	chr15	34334321	34339319	anchor1	+	chr15	34579527	34590381	anchor2	+
185270	chr15	34334321	34339319	Chaitali_149	2	9.76628683527749	GB.specific	#e31a1c	chr15	34334321	34339319	anchor1	+	chr15	34984639	34990512	anchor2	+
185271	chr15	34340172	34344132	Chaitali_150	20	20	common	#a0a0a0	chr15	34340172	34344132	anchor1	+	chr15	34363948	34369467	anchor2	+
185273	chr15	34340172	34344132	Chaitali_151	4	20	GB.specific	#e31a1c	chr15	34340172	34344132	anchor1	+	chr15	34512205	34516531	anchor2	+
185274	chr15	34340172	34344132	Chaitali_152	6	20	common	#a0a0a0	chr15	34340172	34344132	anchor1	+	chr15	34579527	34590381	anchor2	+
185276	chr15	34340172	34344132	Chaitali_153	2	20	GB.specific	#e31a1c	chr15	34340172	34344132	anchor1	+	chr15	34984639	34990512	anchor2	+
185278	chr15	34363948	34369467	Chaitali_154	3	20	GB.specific	#e31a1c	chr15	34363948	34369467	anchor1	+	chr15	34512205	34516531	anchor2	+
185280	chr15	34363948	34369467	Chaitali_155	14	20	common	#a0a0a0	chr15	34363948	34369467	anchor1	+	chr15	34579527	34590381	anchor2	+
185284	chr15	34434533	34439658	Chaitali_156	2	7.76117122736361	GB.specific	#e31a1c	chr15	34434533	34439658	anchor1	+	chr15	34512205	34516531	anchor2	+
185285	chr15	34434533	34439658	Chaitali_157	2	20	common	#a0a0a0	chr15	34434533	34439658	anchor1	+	chr15	34579527	34590381	anchor2	+
185286	chr15	34512205	34516531	Chaitali_158	18	20	GB.specific	#e31a1c	chr15	34512205	34516531	anchor1	+	chr15	34579527	34590381	anchor2	+
185288	chr15	34512205	34516531	Chaitali_159	1	11.8522899836629	GB.specific	#e31a1c	chr15	34512205	34516531	anchor1	+	chr15	34965863	34971297	anchor2	+
185289	chr15	34512205	34516531	Chaitali_160	2	20	GB.specific	#e31a1c	chr15	34512205	34516531	anchor1	+	chr15	34984639	34990512	anchor2	+
185291	chr15	34579527	34590381	Chaitali_161	1	12.1073888230945	GB.specific	#e31a1c	chr15	34579527	34590381	anchor1	+	chr15	34794052	34797530	anchor2	+
185293	chr15	34579527	34590381	Chaitali_162	1	20	GB.specific	#e31a1c	chr15	34579527	34590381	anchor1	+	chr15	34965863	34971297	anchor2	+
185294	chr15	34579527	34590381	Chaitali_163	1	20	hAstro.specific	#1f78b4	chr15	34579527	34590381	anchor1	+	chr15	34984639	34990512	anchor2	+
185296	chr15	34720745	34723551	Chaitali_164	2	10.2786252116902	GB.specific	#e31a1c	chr15	34720745	34723551	anchor1	+	chr15	34965863	34971297	anchor2	+
185297	chr15	34720745	34723551	Chaitali_165	1	10.4932714760553	GB.specific	#e31a1c	chr15	34720745	34723551	anchor1	+	chr15	34984639	34990512	anchor2	+
185298	chr15	34752552	34756869	Chaitali_166	1	7.77061864355667	GB.specific	#e31a1c	chr15	34752552	34756869	anchor1	+	chr15	34984639	34990512	anchor2	+
185299	chr15	34794052	34797530	Chaitali_167	1	3.12540434852441	GB.specific	#e31a1c	chr15	34794052	34797530	anchor1	+	chr15	34965863	34971297	anchor2	+
