chr.x	start.x	end.x	chr.y	start.y	end.y	loopID	mango.P
185073	chr15	20406134	20423728	chr15	22282590	22292488	chr15:20406134-20423728_chr15:22282590-22292488	0
185074	chr15	20406134	20423728	chr15	22298989	22304169	chr15:20406134-20423728_chr15:22298989-22304169	0
185075	chr15	20425437	20429980	chr15	22298989	22304169	chr15:20425437-20429980_chr15:22298989-22304169	1.87545991425786e-06
185076	chr15	20641996	20655267	chr15	20655896	20660722	chr15:20641996-20655267_chr15:20655896-20660722	0
185078	chr15	20641996	20655267	chr15	21056719	21081395	chr15:20641996-20655267_chr15:21056719-21081395	3.94580083200591e-05
185079	chr15	20655896	20660722	chr15	20667623	20682260	chr15:20655896-20660722_chr15:20667623-20682260	0
185080	chr15	20655896	20660722	chr15	21056719	21081395	chr15:20655896-20660722_chr15:21056719-21081395	3.98451964626068e-05
185082	chr15	20655896	20660722	chr15	22298989	22304169	chr15:20655896-20660722_chr15:22298989-22304169	2.42722808863061e-06
185096	chr15	22713702	22717216	chr15	22836947	22842739	chr15:22713702-22717216_chr15:22836947-22842739	1.80558679119258e-10
185107	chr15	23530907	23535835	chr15	24854175	24860816	chr15:23530907-23535835_chr15:24854175-24860816	3.6794978388599e-06
185114	chr15	23632317	23635150	chr15	23859624	23862091	chr15:23632317-23635150_chr15:23859624-23862091	0.000178932232806517
185115	chr15	23642154	23650027	chr15	23859624	23862091	chr15:23642154-23650027_chr15:23859624-23862091	1.54119643813733e-06
185117	chr15	23642154	23650027	chr15	24771482	24774857	chr15:23642154-23650027_chr15:24771482-24774857	5.21977330336654e-06
185118	chr15	23642154	23650027	chr15	24846074	24851437	chr15:23642154-23650027_chr15:24846074-24851437	5.16712561626775e-09
185119	chr15	23642154	23650027	chr15	24854175	24860816	chr15:23642154-23650027_chr15:24854175-24860816	4.45004275229088e-06
185124	chr15	23685123	23687973	chr15	24846074	24851437	chr15:23685123-23687973_chr15:24846074-24851437	5.26225029662264e-06
185128	chr15	24771482	24774857	chr15	25044024	25085981	chr15:24771482-24774857_chr15:25044024-25085981	4.01212396639039e-12
185129	chr15	24771482	24774857	chr15	25261032	25263444	chr15:24771482-24774857_chr15:25261032-25263444	2.9559309149052e-05
185132	chr15	24846074	24851437	chr15	24854175	24860816	chr15:24846074-24851437_chr15:24854175-24860816	1.05220281398921e-06
185134	chr15	24846074	24851437	chr15	25044024	25085981	chr15:24846074-24851437_chr15:25044024-25085981	3.9913627958299e-11
185136	chr15	24854175	24860816	chr15	25044024	25085981	chr15:24854175-24860816_chr15:25044024-25085981	0
185137	chr15	24876606	24879426	chr15	25044024	25085981	chr15:24876606-24879426_chr15:25044024-25085981	4.5807801996034e-13
185142	chr15	25039864	25043522	chr15	25044024	25085981	chr15:25039864-25043522_chr15:25044024-25085981	8.07032820615561e-06
185143	chr15	25044024	25085981	chr15	25169724	25180124	chr15:25044024-25085981_chr15:25169724-25180124	2.90377299982936e-07
185144	chr15	25044024	25085981	chr15	25197281	25208335	chr15:25044024-25085981_chr15:25197281-25208335	2.99547053828064e-11
185145	chr15	25044024	25085981	chr15	25216391	25238415	chr15:25044024-25085981_chr15:25216391-25238415	4.41198633183149e-10
185146	chr15	25044024	25085981	chr15	25309408	25316582	chr15:25044024-25085981_chr15:25309408-25316582	1.12554410236498e-11
185148	chr15	25044024	25085981	chr15	25490026	25492769	chr15:25044024-25085981_chr15:25490026-25492769	1.10741405379144e-07
185150	chr15	25216391	25238415	chr15	25432124	25440977	chr15:25216391-25238415_chr15:25432124-25440977	0.000235657196424377
185151	chr15	25309408	25316582	chr15	25432124	25440977	chr15:25309408-25316582_chr15:25432124-25440977	1.17431726742723e-06
185162	chr15	25847657	25853203	chr15	25859354	25865061	chr15:25847657-25853203_chr15:25859354-25865061	3.22408766351145e-13
185220	chr15	34046460	34052373	chr15	34160028	34163731	chr15:34046460-34052373_chr15:34160028-34163731	0.000225180366971722
185226	chr15	34046460	34052373	chr15	34579527	34590381	chr15:34046460-34052373_chr15:34579527-34590381	8.62880877861016e-11
185246	chr15	34206781	34211477	chr15	34363948	34369467	chr15:34206781-34211477_chr15:34363948-34369467	0
185294	chr15	34579527	34590381	chr15	34984639	34990512	chr15:34579527-34590381_chr15:34984639-34990512	0
185327	chr15	36277447	36281486	chr15	37089416	37112431	chr15:36277447-36281486_chr15:37089416-37112431	1.36964692920571e-08
185380	chr15	37315317	37322432	chr15	37451384	37454041	chr15:37315317-37322432_chr15:37451384-37454041	0.0015470897758989
185392	chr15	38119301	38122079	chr15	38249980	38267783	chr15:38119301-38122079_chr15:38249980-38267783	0.00131039036030023
185394	chr15	38127977	38132992	chr15	38452784	38456305	chr15:38127977-38132992_chr15:38452784-38456305	1.90492066565184e-12
185418	chr15	38452784	38456305	chr15	40355218	40360561	chr15:38452784-38456305_chr15:40355218-40360561	1.79038519765307e-06
185497	chr15	39781099	39787479	chr15	39943225	39946638	chr15:39781099-39787479_chr15:39943225-39946638	0.00062086820237095
185530	chr15	39917439	39922386	chr15	40010269	40016450	chr15:39917439-39922386_chr15:40010269-40016450	5.30050641689428e-06
185558	chr15	39932065	39938227	chr15	40381225	40385737	chr15:39932065-39938227_chr15:40381225-40385737	2.21891838236843e-10
185597	chr15	40035071	40041258	chr15	40321593	40329530	chr15:40035071-40041258_chr15:40321593-40329530	0
185599	chr15	40035071	40041258	chr15	40355218	40360561	chr15:40035071-40041258_chr15:40355218-40360561	8.50579828792775e-10
185668	chr15	40159968	40165159	chr15	40939949	40946446	chr15:40159968-40165159_chr15:40939949-40946446	1.04440451272891e-05
185672	chr15	40237506	40243364	chr15	40381225	40385737	chr15:40237506-40243364_chr15:40381225-40385737	0.00107635188055799
185687	chr15	40278706	40300304	chr15	40506103	40513521	chr15:40278706-40300304_chr15:40506103-40513521	1.36434701758503e-06
185688	chr15	40278706	40300304	chr15	40562025	40567033	chr15:40278706-40300304_chr15:40562025-40567033	0.00010635365920808
185689	chr15	40278706	40300304	chr15	40567556	40571903	chr15:40278706-40300304_chr15:40567556-40571903	1.7160173282349e-09
185693	chr15	40278706	40300304	chr15	40892696	40897589	chr15:40278706-40300304_chr15:40892696-40897589	5.06431563351839e-11
185714	chr15	40321593	40329530	chr15	40923331	40935672	chr15:40321593-40329530_chr15:40923331-40935672	3.71706476709477e-08
185759	chr15	40381225	40385737	chr15	40506103	40513521	chr15:40381225-40385737_chr15:40506103-40513521	0.00243548170335828
185811	chr15	40434248	40446899	chr15	40871298	40875978	chr15:40434248-40446899_chr15:40871298-40875978	1.02662058965031e-07
185831	chr15	40465228	40480467	chr15	40751498	40756900	chr15:40465228-40480467_chr15:40751498-40756900	9.83091567067218e-05
185846	chr15	40506103	40513521	chr15	40751498	40756900	chr15:40506103-40513521_chr15:40751498-40756900	3.86277332342644e-09
185847	chr15	40506103	40513521	chr15	40761436	40773064	chr15:40506103-40513521_chr15:40761436-40773064	6.85158182744949e-07
185874	chr15	40562025	40567033	chr15	41490750	41498063	chr15:40562025-40567033_chr15:41490750-41498063	7.4963123413152e-06
185940	chr15	40592839	40597652	chr15	41282558	41287815	chr15:40592839-40597652_chr15:41282558-41287815	3.4121705461132e-11
185974	chr15	40751498	40756900	chr15	40923331	40935672	chr15:40751498-40756900_chr15:40923331-40935672	0
186052	chr15	40904912	40908555	chr15	41059869	41064098	chr15:40904912-40908555_chr15:41059869-41064098	0.000702323724867338
186074	chr15	40939949	40946446	chr15	41059869	41064098	chr15:40939949-40946446_chr15:41059869-41064098	0.00352185694394858
186085	chr15	40951727	40956792	chr15	41282558	41287815	chr15:40951727-40956792_chr15:41282558-41287815	0
186111	chr15	41229462	41233747	chr15	41398114	41404314	chr15:41229462-41233747_chr15:41398114-41404314	5.88418203051333e-15
186113	chr15	41229462	41233747	chr15	41490750	41498063	chr15:41229462-41233747_chr15:41490750-41498063	1.82076576038526e-14
186178	chr15	41415031	41420506	chr15	41772613	41781179	chr15:41415031-41420506_chr15:41772613-41781179	0
186183	chr15	41415031	41420506	chr15	41966913	41976035	chr15:41415031-41420506_chr15:41966913-41976035	0
186212	chr15	41490750	41498063	chr15	43131957	43136469	chr15:41490750-41498063_chr15:43131957-43136469	1.79891235241314e-09
186220	chr15	41510365	41515380	chr15	41966913	41976035	chr15:41510365-41515380_chr15:41966913-41976035	1.61961444256065e-10
186227	chr15	41541838	41547128	chr15	41822644	41831160	chr15:41541838-41547128_chr15:41822644-41831160	0
186236	chr15	41556647	41563109	chr15	41772613	41781179	chr15:41556647-41563109_chr15:41772613-41781179	0
186266	chr15	41619874	41623742	chr15	41966913	41976035	chr15:41619874-41623742_chr15:41966913-41976035	5.82595586438028e-05
186273	chr15	41659016	41663709	chr15	42206028	42210488	chr15:41659016-41663709_chr15:42206028-42210488	4.68779914886142e-08
186278	chr15	41659016	41663709	chr15	43131957	43136469	chr15:41659016-41663709_chr15:43131957-43136469	2.51752974023134e-09
186306	chr15	41869372	41875150	chr15	42018419	42026166	chr15:41869372-41875150_chr15:42018419-42026166	0.000854016358770915
186377	chr15	42488177	42492588	chr15	42494070	42497640	chr15:42488177-42492588_chr15:42494070-42497640	0
186394	chr15	42494070	42497640	chr15	42579345	42585471	chr15:42494070-42497640_chr15:42579345-42585471	0.000172242376002441
186448	chr15	42733380	42738648	chr15	43120907	43124659	chr15:42733380-42738648_chr15:43120907-43124659	6.51922960059892e-13
186506	chr15	43120907	43124659	chr15	43357904	43373607	chr15:43120907-43124659_chr15:43357904-43373607	0
186675	chr15	44534491	44539855	chr15	45105511	45120436	chr15:44534491-44539855_chr15:45105511-45120436	1.94927192758154e-05
186678	chr15	44534491	44539855	chr15	45277581	45280940	chr15:44534491-44539855_chr15:45277581-45280940	1.87454795019804e-08
186686	chr15	44661058	44665265	chr15	45105511	45120436	chr15:44661058-44665265_chr15:45105511-45120436	1.83598247716077e-10
186695	chr15	45004540	45010039	chr15	45277581	45280940	chr15:45004540-45010039_chr15:45277581-45280940	0.000107731934880562
186700	chr15	45020325	45029892	chr15	45453809	45464110	chr15:45020325-45029892_chr15:45453809-45464110	0
186706	chr15	45105511	45120436	chr15	45238448	45244713	chr15:45105511-45120436_chr15:45238448-45244713	6.91283013054544e-07
186741	chr15	45184402	45189784	chr15	45453809	45464110	chr15:45184402-45189784_chr15:45453809-45464110	0
186758	chr15	45233576	45236858	chr15	45238448	45244713	chr15:45233576-45236858_chr15:45238448-45244713	0.00022767098863119
186760	chr15	45238448	45244713	chr15	45400525	45405692	chr15:45238448-45244713_chr15:45400525-45405692	0.000603186319598659
186769	chr15	45295678	45299317	chr15	45400525	45405692	chr15:45295678-45299317_chr15:45400525-45405692	3.00808750131054e-08
186770	chr15	45295678	45299317	chr15	45453809	45464110	chr15:45295678-45299317_chr15:45453809-45464110	0.000597846793558565
186785	chr15	45400525	45405692	chr15	45622902	45629481	chr15:45400525-45405692_chr15:45622902-45629481	0.000188670705266625
186852	chr15	48058236	48063227	chr15	48329149	48335321	chr15:48058236-48063227_chr15:48329149-48335321	5.35778064469916e-07
186921	chr15	48640658	48647801	chr15	48969471	48978758	chr15:48640658-48647801_chr15:48969471-48978758	0
186950	chr15	48876804	48881695	chr15	49169207	49172777	chr15:48876804-48881695_chr15:49169207-49172777	0
186982	chr15	48947616	48965485	chr15	49259031	49261958	chr15:48947616-48965485_chr15:49259031-49261958	8.11125588398021e-05
187002	chr15	49041389	49047728	chr15	50422891	50427587	chr15:49041389-49047728_chr15:50422891-50427587	3.25629101460834e-09
187031	chr15	50180397	50184461	chr15	50422891	50427587	chr15:50180397-50184461_chr15:50422891-50427587	0.000158527488985261
187032	chr15	50180397	50184461	chr15	50905855	50911426	chr15:50180397-50184461_chr15:50905855-50911426	1.24735435775847e-05
187040	chr15	50349229	50358431	chr15	51828582	51833548	chr15:50349229-50358431_chr15:51828582-51833548	1.46838097236923e-12
187066	chr15	50762357	50767426	chr15	50970487	50973990	chr15:50762357-50767426_chr15:50970487-50973990	0.000235628415806044
187087	chr15	51092380	51096801	chr15	51261242	51268941	chr15:51092380-51096801_chr15:51261242-51268941	2.37647013179298e-10
187155	chr15	51748743	51753534	chr15	52782497	52808150	chr15:51748743-51753534_chr15:52782497-52808150	5.85168787614609e-06
187164	chr15	51828582	51833548	chr15	52292996	52297316	chr15:51828582-51833548_chr15:52292996-52297316	3.04267072961384e-05
187222	chr15	52524662	52530895	chr15	52675895	52681187	chr15:52524662-52530895_chr15:52675895-52681187	0
187233	chr15	52782497	52808150	chr15	53182839	53186036	chr15:52782497-52808150_chr15:53182839-53186036	3.36540795231599e-10
187241	chr15	55194119	55199734	chr15	55316224	55321351	chr15:55194119-55199734_chr15:55316224-55321351	0
187251	chr15	55265362	55269059	chr15	55286755	55291500	chr15:55265362-55269059_chr15:55286755-55291500	9.31644272839094e-09
187257	chr15	55286755	55291500	chr15	55443612	55448859	chr15:55286755-55291500_chr15:55443612-55448859	7.88113545535651e-08
187282	chr15	55585257	55590218	chr15	56915873	56924142	chr15:55585257-55590218_chr15:56915873-56924142	3.65776101074466e-06
187301	chr15	55910620	55918856	chr15	56462225	56470153	chr15:55910620-55918856_chr15:56462225-56470153	1.03916875104915e-13
187344	chr15	56730145	56735538	chr15	56885958	56889358	chr15:56730145-56735538_chr15:56885958-56889358	1.11022302462516e-16
187440	chr15	58192197	58196675	chr15	58763485	58766549	chr15:58192197-58196675_chr15:58763485-58766549	1.9631066397352e-05
187464	chr15	58549913	58553145	chr15	58768946	58775885	chr15:58549913-58553145_chr15:58768946-58775885	1.28543724731145e-06
187465	chr15	58549913	58553145	chr15	59369454	59374535	chr15:58549913-58553145_chr15:59369454-59374535	1.00991206535284e-05
187567	chr15	59685490	59691994	chr15	60475207	60481253	chr15:59685490-59691994_chr15:60475207-60481253	0
187579	chr15	59992405	60012071	chr15	60321127	60327808	chr15:59992405-60012071_chr15:60321127-60327808	0
187583	chr15	59992405	60012071	chr15	60588218	60594204	chr15:59992405-60012071_chr15:60588218-60594204	0
187597	chr15	60321127	60327808	chr15	60475207	60481253	chr15:60321127-60327808_chr15:60475207-60481253	2.66453525910038e-14
187609	chr15	60383922	60400815	chr15	62057588	62062689	chr15:60383922-60400815_chr15:62057588-62062689	0
187615	chr15	60475207	60481253	chr15	62057588	62062689	chr15:60475207-60481253_chr15:62057588-62062689	0
187639	chr15	62057588	62062689	chr15	62206508	62219239	chr15:62057588-62062689_chr15:62206508-62219239	9.76804581664936e-08
187641	chr15	62057588	62062689	chr15	62317022	62322843	chr15:62057588-62062689_chr15:62317022-62322843	0.000121108524935187
187654	chr15	62064480	62069983	chr15	62206508	62219239	chr15:62064480-62069983_chr15:62206508-62219239	1.37284583701103e-09
187655	chr15	62064480	62069983	chr15	62259072	62273508	chr15:62064480-62069983_chr15:62259072-62273508	1.24646917232241e-08
187657	chr15	62064480	62069983	chr15	63041079	63052433	chr15:62064480-62069983_chr15:63041079-63052433	8.4473796846396e-09
187820	chr15	63499825	63508023	chr15	64353636	64358106	chr15:63499825-63508023_chr15:64353636-64358106	1.23944294827538e-08
187825	chr15	63499825	63508023	chr15	65284130	65289789	chr15:63499825-63508023_chr15:65284130-65289789	2.04508019352456e-06
187954	chr15	64129276	64164544	chr15	64839075	64898647	chr15:64129276-64164544_chr15:64839075-64898647	0
187958	chr15	64129276	64164544	chr15	65025637	65030707	chr15:64129276-64164544_chr15:65025637-65030707	1.15349806373288e-08
187981	chr15	64241389	64250380	chr15	64353636	64358106	chr15:64241389-64250380_chr15:64353636-64358106	0
187983	chr15	64241389	64250380	chr15	64377394	64394231	chr15:64241389-64250380_chr15:64377394-64394231	0
188035	chr15	64377394	64394231	chr15	64986669	64991846	chr15:64377394-64394231_chr15:64986669-64991846	0
188043	chr15	64377394	64394231	chr15	65419077	65424545	chr15:64377394-64394231_chr15:65419077-65424545	6.36157793110215e-12
188149	chr15	64697223	64704538	chr15	65299857	65306696	chr15:64697223-64704538_chr15:65299857-65306696	5.85165249589181e-11
188289	chr15	65128103	65139826	chr15	65354242	65357701	chr15:65128103-65139826_chr15:65354242-65357701	1.34294096998389e-06
188357	chr15	65375287	65379643	chr15	65867409	65875312	chr15:65375287-65379643_chr15:65867409-65875312	0
188375	chr15	65419077	65424545	chr15	65867409	65875312	chr15:65419077-65424545_chr15:65867409-65875312	0
188389	chr15	65509557	65521099	chr15	65809886	65819158	chr15:65509557-65521099_chr15:65809886-65819158	8.55073914272086e-05
188409	chr15	65607626	65618093	chr15	65809886	65819158	chr15:65607626-65618093_chr15:65809886-65819158	1.14872518164333e-08
188415	chr15	65607626	65618093	chr15	66351662	66358508	chr15:65607626-65618093_chr15:66351662-66358508	2.22044604925031e-14
188452	chr15	65867409	65875312	chr15	67815857	67844647	chr15:65867409-65875312_chr15:67815857-67844647	1.11510489730904e-09
188465	chr15	66351662	66358508	chr15	66359032	66376333	chr15:66351662-66358508_chr15:66359032-66376333	2.00483966894538e-06
188472	chr15	66359032	66376333	chr15	66384822	66398877	chr15:66359032-66376333_chr15:66384822-66398877	4.93372293686178e-07
188550	chr15	66615456	66622971	chr15	67124012	67128047	chr15:66615456-66622971_chr15:67124012-67128047	2.53855429408478e-05
188569	chr15	66698592	66708913	chr15	67032614	67040838	chr15:66698592-66708913_chr15:67032614-67040838	6.78326800869211e-05
188585	chr15	66840538	66852861	chr15	67060966	67070834	chr15:66840538-66852861_chr15:67060966-67070834	1.44684530134498e-06
188604	chr15	66934184	66938525	chr15	67060966	67070834	chr15:66934184-66938525_chr15:67060966-67070834	0
188626	chr15	67032614	67040838	chr15	67162998	67181599	chr15:67032614-67040838_chr15:67162998-67181599	4.39921188366554e-09
188628	chr15	67032614	67040838	chr15	67815857	67844647	chr15:67032614-67040838_chr15:67815857-67844647	1.60980335728311e-08
188634	chr15	67060966	67070834	chr15	67087014	67096417	chr15:67060966-67070834_chr15:67087014-67096417	2.28004257918357e-06
188637	chr15	67060966	67070834	chr15	67124012	67128047	chr15:67060966-67070834_chr15:67124012-67128047	0.00249904275967627
188645	chr15	67060966	67070834	chr15	67540541	67552287	chr15:67060966-67070834_chr15:67540541-67552287	0
188665	chr15	67124012	67128047	chr15	67540541	67552287	chr15:67124012-67128047_chr15:67540541-67552287	1.07883463051905e-07
188666	chr15	67124012	67128047	chr15	67815857	67844647	chr15:67124012-67128047_chr15:67815857-67844647	0
188683	chr15	67252309	67259298	chr15	67867940	67874719	chr15:67252309-67259298_chr15:67867940-67874719	1.67853288037811e-05
188686	chr15	67252309	67259298	chr15	68270954	68284796	chr15:67252309-67259298_chr15:68270954-68284796	0
188690	chr15	67448153	67450613	chr15	67815857	67844647	chr15:67448153-67450613_chr15:67815857-67844647	3.87994969486272e-10
188691	chr15	67451181	67455165	chr15	67815857	67844647	chr15:67451181-67455165_chr15:67815857-67844647	0
188718	chr15	67540541	67552287	chr15	67795070	67813452	chr15:67540541-67552287_chr15:67795070-67813452	2.64966626417618e-09
188722	chr15	67540541	67552287	chr15	67867940	67874719	chr15:67540541-67552287_chr15:67867940-67874719	6.83569449935195e-05
188735	chr15	67795070	67813452	chr15	67815857	67844647	chr15:67795070-67813452_chr15:67815857-67844647	4.53775748088248e-07
188740	chr15	67815857	67844647	chr15	68021493	68030162	chr15:67815857-67844647_chr15:68021493-68030162	0.000289655177142301
188774	chr15	67867940	67874719	chr15	68053020	68057975	chr15:67867940-67874719_chr15:68053020-68057975	0.000356327326962114
188847	chr15	68255812	68259209	chr15	68420693	68435305	chr15:68255812-68259209_chr15:68420693-68435305	5.46016614055844e-06
188904	chr15	68378562	68388742	chr15	68576063	68609908	chr15:68378562-68388742_chr15:68576063-68609908	1.7443301024711e-06
188905	chr15	68378562	68388742	chr15	68812454	68823604	chr15:68378562-68388742_chr15:68812454-68823604	3.53897514862034e-05
188913	chr15	68420693	68435305	chr15	68558118	68562966	chr15:68420693-68435305_chr15:68558118-68562966	4.57979051127211e-07
188914	chr15	68420693	68435305	chr15	68576063	68609908	chr15:68420693-68435305_chr15:68576063-68609908	2.00162109109669e-12
188950	chr15	68558118	68562966	chr15	68862407	68864682	chr15:68558118-68562966_chr15:68862407-68864682	8.12067308446629e-05
188964	chr15	68576063	68609908	chr15	69069156	69096430	chr15:68576063-68609908_chr15:69069156-69096430	6.69061538394189e-08
189009	chr15	68812454	68823604	chr15	68963007	68970281	chr15:68812454-68823604_chr15:68963007-68970281	0.000864797336685541
189012	chr15	68812454	68823604	chr15	69156046	69163433	chr15:68812454-68823604_chr15:69156046-69163433	0
189014	chr15	68812454	68823604	chr15	69411808	69421014	chr15:68812454-68823604_chr15:69411808-69421014	0
189015	chr15	68812454	68823604	chr15	69449680	69456227	chr15:68812454-68823604_chr15:69449680-69456227	0
189048	chr15	69030679	69052640	chr15	69069156	69096430	chr15:69030679-69052640_chr15:69069156-69096430	0.00151092969751621
189138	chr15	69273491	69311529	chr15	70046576	70083826	chr15:69273491-69311529_chr15:70046576-70083826	2.0839552306029e-11
189170	chr15	69411808	69421014	chr15	71113727	71123675	chr15:69411808-69421014_chr15:71113727-71123675	2.26828263416579e-06
189200	chr15	69457895	69464377	chr15	70489144	70499784	chr15:69457895-69464377_chr15:70489144-70499784	6.96779300923822e-09
189349	chr15	69620693	69629791	chr15	69645845	69678068	chr15:69620693-69629791_chr15:69645845-69678068	0.00456393495340834
189359	chr15	69620693	69629791	chr15	70016794	70036715	chr15:69620693-69629791_chr15:70016794-70036715	1.26361750174553e-07
189360	chr15	69620693	69629791	chr15	70087055	70108467	chr15:69620693-69629791_chr15:70087055-70108467	2.89486603903821e-05
189371	chr15	69645845	69678068	chr15	69678905	69696547	chr15:69645845-69678068_chr15:69678905-69696547	0
189405	chr15	69678905	69696547	chr15	69922010	69935998	chr15:69678905-69696547_chr15:69922010-69935998	1.31972210937192e-11
